anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2015,0,99613,CORPESCA S A,96893820-7,PLANTA CENTRO,Pesca y acuicultura,,Pesca marítima,A0311,"Pesca marítima industrial, excepto de barcos factoría",A031110,Tarapacá,Iquique,Iquique,1101,-20.20229844,-70.13981909,Generador Industrial,,,3.43,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Plástico,Plástico,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",5464263.0,VERTEDERO EL BORO,ILUSTRE MUNICIPALIDAD DE IQUIQUE,Iquique,Tarapacá,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,3.02,2.0,Valorización,7.0,Preparación para reutilización,,,Madera,Madera,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,ERRE CUATRO SA,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5453295,AGRICOLA SUPER LIMITADA,88680500-4,LAS CUCAS,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,6110,-33.98678606,-70.67086586,Generador Industrial,,,0.23,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Plástico,Plástico,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,SOCIEDAD HENAR RESIDUOS LTDA.,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5453266,AGRICOLA SUPER LIMITADA,88680500-4,MATANZA,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Valparaíso,San Antonio,Santo Domingo,5606,-33.75796059,-71.70023985,Generador Industrial,,,0.07,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Plástico,Plástico,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,SOCIEDAD HENAR RESIDUOS LTDA.,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5440823,AGRICOLA SUPER LIMITADA,88680500-4,EL CARMEN,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Libertador General Bernardo O'Higgins,Cachapoal,Codegua,6102,-34.091695,-70.62718592,Generador Industrial,,,0.042,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Plástico,Plástico,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,SOCIEDAD HENAR RESIDUOS LTDA.,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5453304,AGRICOLA SUPER LIMITADA,88680500-4,LA LEONERA,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Libertador General Bernardo O'Higgins,Cachapoal,Codegua,6102,-34.05585889,-70.62451803,Generador Industrial,,,0.042,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Plástico,Plástico,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,SOCIEDAD HENAR RESIDUOS LTDA.,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5459499,INMOBILIARIA E INVERSIONES PROGRESA SOCIEDAD ANONIMA,92011000-2,F 64 MANUEL MONTT,Otras actividades,,Actividades especializadas de diseño,M7410,Actividades de diseño de vestuario,M741001,Valparaíso,Marga Marga,Villa Alemana,5804,-33.04557983,-71.35441763,Generador Industrial,,,264.0,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,SEMOT LTDA,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,3408807,TECNOVIAL S A,77086090-3,TECNOVIAL SA,Otras industrias manufactureras,,Fabricación de productos metálicos para uso estructural,C2511,Fabricación de productos metálicos para uso estructural,C251100,Metropolitana de Santiago,Santiago,Maipú,13119,-33.54936253,-70.78880458,Generador Industrial,,,30.5,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Hierro y acero,Hierro y acero,,Residuos de la construcción y demolición,,Metales (incluidas sus aleaciones),,,COMERCIAL E INDUSTRIAL ALBROMET LTDA,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,MANUEL ZUÑIGA,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,AQUILES GALINDO O.,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,PATRICIO A. ACUM GUDAL,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,PEDRO PEREZ PEREZ,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,MANUEL BARRIA BARRIA,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,ROLANDO SANCHEZ IGOR,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,FERNANDO MARQUEZ,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.818,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,JOSE UNQUEN MUÑOZ,,,,gi-sinader-2015-ckan.xlsx,False
2015,0,5452087,COLBUN S A,96505760-9,CENTRAL HIDROELÉCTRICA LA MINA,Otras centrales de generación eléctrica,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales hidroeléctricas,D351011,Maule,Talca,San Clemente,7109,-35.8284899,-70.73877574,Generador Industrial,,,749839.99,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Tierra y piedras distintas de las especificadas en el código 17 05 03,Tierra y piedras distintas de las especificadas en el código 17 05 03,17.0,Residuos de la construcción y demolición,5.0,"Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje",5452087.0,CENTRAL HIDROELÉCTRICA LA MINA,COLBUN S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,6638,GUACOLDA ENERGIA S.A,76418918-3,GUACOLDA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Atacama,Huasco,Huasco,3304,-28.46860974,-71.25437653,Generador Industrial,,,300601.3,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5461525.0,DEPOSITO DE CENIZAS GUACOLDA,GUACOLDA ENERGIA S.A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5468142,SINERGIA INMOBILIARIA S.A.,96787990-8,ALTO MACUL,Otras actividades,,Actividades inmobiliarias realizadas con bienes propios o arrendados,L6810,Alquiler de bienes inmuebles amoblados o con equipos y maquinarias,L681011,Metropolitana de Santiago,Santiago,La Florida,13110,-33.51723318,-70.54119616,Generador Industrial,,,122783.0,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,"Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17.0,Residuos de la construcción y demolición,9.0,Otros residuos de construcción y demolición,5466006.0,BALTIERRA SA,"INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA",Puente Alto,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5441925,PESQUERA GRIMAR S.A.,96962720-5,PESQUERA GRIMAR,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Biobío,Concepción,Coronel,8102,-36.956939,-73.16479694,Generador Industrial,,,120890.0,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2.0,"Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",33161.0,PLANTA COPIULEMU,HIDRONOR CHILE S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5441787,E.CL S.A.,88006900-4,CENTRAL TERMICA TOCOPILLA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Tocopilla,Tocopilla,2301,-22.09607305,-70.21390995,Generador Industrial,,,118485.0,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5462307.0,VERTEDERO CENIZA Y ESCORIA CTT,E.CL S.A.,Antofagasta,Antofagasta,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,309729,EMPRESA ELECTRICA VENTANAS S.A,96814370-0,CENTRAL TERMOELÉCTRICA NUEVA VENTANAS,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Valparaíso,Valparaíso,Puchuncaví,5105,-32.75250322,-71.47933591,Generador Industrial,,,117851.52,1.0,Eliminación,3.0,Disposición final,14.0,Monorelleno,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452309.0,DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE,AES GENER S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,4917485,EMPRESA ELECTRICA CAMPICHE S.A.,76008306-2,CENTRAL TERMOELECTRICA CAMPICHE,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Valparaíso,Valparaíso,Puchuncaví,5105,-32.75252209,-71.47929375,Generador Industrial,,,115151.85,1.0,Eliminación,3.0,Disposición final,14.0,Monorelleno,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452309.0,DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE,AES GENER S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5441369,AES GENER S A,94272000-9,CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Tocopilla,Tocopilla,2301,-22.09557627,-70.21025147,Generador Industrial,,,110847.64,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452290.0,DEPÓSITO DE CENIZAS CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA,AES GENER S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,5441785,E.CL S.A.,88006900-4,CENTRAL TÉRMICA MEJILLONES,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102,-23.08942523,-70.41189629,Generador Industrial,,,99225.3,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5462674.0,VERTEDERO CENIZA Y ESCORIA CTM,E.CL S.A.,Antofagasta,Antofagasta,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,1837728,BAKELS CHILE S A,96647600-1,BAKELS CHILE S.A.,Otras industrias manufactureras,,Elaboración de productos de panadería,C1071,Elaboración de productos de panadería y pastelería,C107100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.34307243,-70.71099478,Generador Industrial,,,98400.0,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,7803.0,RELLENO SANITARIO LOMA LOS COLORADOS,K D M  S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,633,CIA SIDERURGICA HUACHIPATO S A,94637000-2,COMPAÑÍA SIDERÚRGICA HUACHIPATO,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Biobío,Concepción,Talcahuano,8110,-36.75168609,-73.12542139,Generador Industrial,,,80200.0,2.0,Valorización,7.0,Preparación para reutilización,,,Escorias no tratadas,Escorias no tratadas,10.0,Residuos de procesos térmicos,2.0,Residuos de la industria del hierro y del acero,633.0,COMPAÑÍA SIDERÚRGICA HUACHIPATO,CIA SIDERURGICA HUACHIPATO S A,Talcahuano,Biobío,Chile,gi-sinader-2015-ckan.xlsx,False
2015,0,3146,FAENADORA SAN VICENTE LIMITADA,78483600-2,PLANTA FAENADORA,Otras industrias manufactureras,,Elaboración y conservación de carne,C1010,Elaboración y conservación de carne y productos cárnicos,C101020,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,6117,-34.42907739,-71.08483575,Generador Industrial,,,77616.46,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,Materiales inadecuados para el consumo o la elaboración,Materiales inadecuados para el consumo o la elaboración,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2.0,"Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",5457981.0,FAENADORA LO MIRANDA,FAENADORA LO MIRANDA LIMITADA,Doñihue,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2015-ckan.xlsx,False
