anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2018,0,84147,INDUSTRIAS METALURGICAS SORENA S A,92261000-2,INDUSTRIAS METALURGICAS SORENA S.A.,Otras industrias manufactureras,,Fundición de metales no ferrosos,C2432,Fundición de metales no ferrosos,C243200,Metropolitana de Santiago,Santiago,Cerrillos,13102,-33.48933533,-70.71120798,Generador Industrial,,,65.0,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Escorias de horno,Escorias de horno,10.0,Residuos de procesos térmicos,9.0,Residuos de la fundición de piezas no férreas,,,MIGRIN,,,,gi-sinader-2018-ckan.xlsx,False
2018,0,4989,ACEROS AZA S.A.,92176000-0,PLANTA COLINA,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.29580495,-70.72876759,Generador Industrial,,,1351.18,2,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,Otros lodos y tortas de filtración,Otros lodos y tortas de filtración,10.0,Residuos de procesos térmicos,2.0,Residuos de la industria del hierro y del acero,4586042.0,COACTIVA,CEMENTO POLPAICO S A,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,0.45,2,Valorización,7.0,Preparación para reutilización,,,Madera,Madera,,Residuos de la construcción y demolición,,"Madera, vidrio y plástico",,,INGIENERIA Y ASESORIAS MTV EIRL,,,,gi-sinader-2018-ckan.xlsx,False
2018,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,4.0,2,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,EDSON GUENTELICAN H.,,,,gi-sinader-2018-ckan.xlsx,False
2018,0,4589674,SERVICIO DE SALUD DEL MAULE,61606900-4,HOSPITAL BASE DE CURICO,Otras actividades,,Otras actividades de alojamiento,I5590,Actividades de residenciales para estudiantes y trabajadores,,Maule,Curicó,Curicó,7301,-35.67514497,-71.54296465,Generador Industrial,,,70050.0,2,Valorización,31.0,Aplicación al Suelo,,,Tierra y piedras distintas de las especificadas en el código 17 05 03,Tierra y piedras distintas de las especificadas en el código 17 05 03,17.0,Residuos de la construcción y demolición,5.0,"Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje",,,PLANTA GEOROGU,,,,gi-sinader-2018-ckan.xlsx,False
2018,0,6638,GUACOLDA ENERGIA SPA,76418918-3,GUACOLDA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Atacama,Huasco,Huasco,3304,-28.46860974,-71.25437653,Generador Industrial,,,300234.1,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5461525.0,DEPOSITO DE CENIZAS GUACOLDA,GUACOLDA ENERGIA SPA,Huasco,Atacama,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,5452233,EMPRESA ELECTRICA COCHRANE S.P.A.,76085254-6,CENTRAL TERMOELÉCTRICA COCHRANE,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102,-23.06424459,-70.37617361,Generador Industrial,,,190375.0,1,Eliminación,3.0,Disposición final,33.0,Depósito de Seguridad,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),2169953.0,DEPÓSITO DE CENIZAS ANGAMOS,EMPRESA ELECTRICA ANGAMOS SPA,Mejillones,Antofagasta,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,5452292,EMPRESA ELECTRICA ANGAMOS SPA,76004976-K,CENTRAL TERMOELÉCTRICA ANGAMOS,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102,-23.06858082,-70.3687702,Generador Industrial,,,165485.0,1,Eliminación,3.0,Disposición final,33.0,Depósito de Seguridad,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),2169953.0,DEPÓSITO DE CENIZAS ANGAMOS,EMPRESA ELECTRICA ANGAMOS SPA,Mejillones,Antofagasta,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,5464446,ALIMEX S.A.,96938200-8,ALIMEX SA,Comercio mayorista,,Venta al por mayor de materias primas agropecuarias y animales vivos,G4620,Venta al por mayor de materias primas agrícolas,G462010,Metropolitana de Santiago,Santiago,Lo Espejo,13116,-33.53610296,-70.69349953,Generador Industrial,,,161750.0,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2.0,"Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,633,CIA SIDERURGICA HUACHIPATO S.A.,94637000-2,COMPAÑÍA SIDERÚRGICA HUACHIPATO,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Biobío,Concepción,Talcahuano,8110,-36.75168609,-73.12542139,Generador Industrial,,,137951.0,2,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,Escorias no tratadas,Escorias no tratadas,10.0,Residuos de procesos térmicos,2.0,Residuos de la industria del hierro y del acero,887401.0,CEMENTOS BIO BIO DEL SUR SA,BIO BIO CEMENTOS S.A.,Talcahuano,Biobío,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,309729,EMPRESA ELECTRICA VENTANAS SPA,96814370-0,CENTRAL TERMOELÉCTRICA NUEVA VENTANAS,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Valparaíso,Valparaíso,Puchuncaví,5105,-32.75250322,-71.47933591,Generador Industrial,,,120824.38,1,Eliminación,3.0,Disposición final,14.0,Monorelleno,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452309.0,DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE,AES ANDES S A,Puchuncaví,Valparaíso,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,5476252,COSTAS DE MONTEMAR SPA,76460354-0,ECO COSTAS,Otras actividades,,Actividades inmobiliarias realizadas con bienes propios o arrendados,L6810,Alquiler de bienes inmuebles amoblados o con equipos y maquinarias,L681011,Valparaíso,Quillota,Quillota,5501,-32.93384603,-71.54434992,Generador Industrial,,,112665.0,2,Valorización,7.0,Preparación para reutilización,,,Tierra y piedras distintas de las especificadas en el código 17 05 03,Tierra y piedras distintas de las especificadas en el código 17 05 03,17.0,Residuos de la construcción y demolición,5.0,"Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje",,,CONSTRUCTORA Y OBRAS CIVILES GUARDIA VIEJA LTDA.,,,,gi-sinader-2018-ckan.xlsx,False
2018,0,4917485,EMPRESA ELECTRICA CAMPICHE SPA,76008306-2,CENTRAL TERMOELECTRICA CAMPICHE,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Valparaíso,Valparaíso,Puchuncaví,5105,-32.75252209,-71.47929375,Generador Industrial,,,103810.79,1,Eliminación,3.0,Disposición final,14.0,Monorelleno,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452309.0,DEPÓSITO DE RISES DE COMBUSTIÓN DEL COMPLEJO TERMOELÉCTRICO VENTANAS DEPÓSITO EL PANGUE,AES ANDES S A,Puchuncaví,Valparaíso,Chile,gi-sinader-2018-ckan.xlsx,False
2018,0,436492,CENTRAL TERMOELECTRICA ANDINA S A,76708710-1,CENTRAL TERMICA ANDINA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102,-23.08569494,-70.4078842,Generador Industrial,,,99298.0,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5462674.0,VERTEDERO CENIZA Y ESCORIA CTM,ENGIE ENERGIA CHILE S.A.,Mejillones,Antofagasta,Chile,gi-sinader-2018-ckan.xlsx,False
