anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2022,0,64566,MINERA ESCONDIDA LIMITADA,79587210-8,MINA 0,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Antofagasta,2101,-24.25560211,-69.13134766,Generador Industrial,,,183.74,2,Valorización,7.0,Preparación para reutilización,,,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),,Destinatario Final,SERVILINARES SPA,Antofagasta,Antofagasta,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,64566,MINERA ESCONDIDA LIMITADA,79587210-8,MINA 0,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Antofagasta,2101,-24.25560211,-69.13134766,Generador Industrial,,,671.21,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),,COMERCIALIZADORA FERCASTA SPA,COMERCIALIZADORA FERCASTA SPA,Iquique,Tarapacá,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462786,COMERCIAL & LOGISTICA GENERAL S A,89479000-8,CENTRO LOGISTICO TALCA,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Maule,Talca,Talca,7101,-35.41942152,-71.66799367,Generador Industrial,,,8.26,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",4587897.0,CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE,ECOMAULE SPA,Río Claro,Maule,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5402844,MINERA SPENCE S.A.,86542100-1,MINERA SPENCE S.A.,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Sierra Gorda,2103,-22.86114412,-69.29568255,Generador Industrial,,,576.96,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5478206.0,EXXAN SPA,EXXAN SPA,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4585440,CORP NACIONAL DEL COBRE DE CHILE,61704000-K,CODELCO DIVISION EL TENIENTE CALETONES,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Libertador General Bernardo O'Higgins,Cachapoal,Machalí,6108,-34.10525558,-70.45102643,Generador Industrial,,,14731.37,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 05 | Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),4989.0,PLANTA COLINA,ACEROS AZA S.A.,Colina,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,2186,ACEROS AZA S.A.,92176000-0,PLANTA RENCA,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Metropolitana de Santiago,Santiago,Renca,13128,-33.40124471,-70.68363114,Generador Industrial,,,700.89,2,Valorización,,,,,10 02 15 | Otros lodos y tortas de filtración,10 02 15 | Otros lodos y tortas de filtración,,10 | Residuos de procesos térmicos,,02 | Residuos de la industria del hierro y del acero,4586042.0,COACTIVA,CEMENTO POLPAICO S A,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5402844,MINERA SPENCE S.A.,86542100-1,MINERA SPENCE S.A.,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Sierra Gorda,2103,-22.86114412,-69.29568255,Generador Industrial,,,606.78,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5451966.0,CENTRO DE RECICLAJE ANTOFAGASTA,ACEROS AZA S.A.,Antofagasta,Antofagasta,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4989,ACEROS AZA S.A.,92176000-0,PLANTA COLINA,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.29580495,-70.72876759,Generador Industrial,,,63997.71,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,10 09 03 | Escorias de horno,10 09 03 | Escorias de horno,,10 | Residuos de procesos térmicos,,09 | Residuos de la fundición de piezas férreas,5442680.0,PLANTA HARSCOTILTIL,HARSCO METALS CHILE S.A.,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,2186,ACEROS AZA S.A.,92176000-0,PLANTA RENCA,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Metropolitana de Santiago,Santiago,Renca,13128,-33.40124471,-70.68363114,Generador Industrial,,,903.77,2,Valorización,,,,,10 02 10 | Cascarilla de laminación,10 02 10 | Cascarilla de laminación,,10 | Residuos de procesos térmicos,,02 | Residuos de la industria del hierro y del acero,5403042.0,PLANTA CERRO BLANCO  - TIL TIL,CEMENTO POLPAICO S A,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4473,MADERAS ARAUCO S.A.,96510970-6,PLANTA VIÑALES,Industria de la madera y silvicultura,,Aserrado y acepilladura de madera,C1610,Aserrado y acepilladura de madera,C161000,Maule,Talca,Constitución,7102,-35.37071755,-72.41094156,Generador Industrial,,,24.85,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,10 01 99 | Residuos no especificados en otra categoría,10 01 99 | Residuos no especificados en otra categoría,,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),244575.0,ECOBIO,ECOBIO SPA,Chillan Viejo,Ñuble,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,4473,MADERAS ARAUCO S.A.,96510970-6,PLANTA VIÑALES,Industria de la madera y silvicultura,,Aserrado y acepilladura de madera,C1610,Aserrado y acepilladura de madera,C161000,Maule,Talca,Constitución,7102,-35.37071755,-72.41094156,Generador Industrial,,,1665.488,2,Valorización,7.0,Preparación para reutilización,,,10 01 24 | Arenas de lechos fluidizados,10 01 24 | Arenas de lechos fluidizados,,10 | Residuos de procesos térmicos,,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5452901.0,PLANTA BULNES 1,VERDE CORP SPA,Bulnes,Ñuble,Chile,gi-sinader-2022-ckan.xlsx,False
