anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2023,0,309222,CINTAC S.A.I.C.,96705210-8,CINTAC S.A.I.C.,Otras industrias manufactureras,,Fabricación de productos metálicos para uso estructural,C2511,Fabricación de productos metálicos para uso estructural,C251100,Metropolitana de Santiago,Santiago,Maipú,13119,-33.51103859,-70.72509197,Generador Industrial,,,20.72,2,Valorización,,,,,17 04 12 | Hierro y acero galvanizados,17 04 12 | Hierro y acero galvanizados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),4989.0,PLANTA COLINA,ACEROS AZA S.A.,Colina,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,3338415,AISLANTES VOLCAN S A,96848750-7,AISLANTES VOLCÁN S.A.,Otras industrias manufactureras,,Fabricación de vidrio y productos de vidrio,C2310,Fabricación de fibras de vidrio,C231003,Metropolitana de Santiago,Cordillera,Puente Alto,13201,-33.63904917,-70.62451662,Generador Industrial,,,0.46,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5466831.0,GALDAMES,GALDAMES Y OTRO LIMITADA,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,312938,COMPANIA GENERAL DE ELECTRICIDAD S.A.,76411321-7,ELIQSA,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Tarapacá,Iquique,Iquique,1101,-20.2061052,-70.14353156,Generador Industrial,,,12.55,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5464263.0,VERTEDERO EL BORO,ILUSTRE MUNICIPALIDAD DE IQUIQUE,Alto Hospicio,Tarapacá,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5472886,FLESAN ANCLAJES S.A.,76154079-3,FLESAN ANCLAJES,Construcción,,Otras actividades especializadas de construcción,F4390,Otras actividades especializadas de construcción,F439000,Metropolitana de Santiago,Santiago,Ñuñoa,13120,-33.47357383,-70.61634201,Generador Industrial,,,0.289,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,17 02 10 | Plástico HDPE (polietileno de alta densidad),17 02 10 | Plástico HDPE (polietileno de alta densidad),,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5460733.0,GREENDOT,GREENDOT SPA,Buin,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5440488,CIA MINERA DEL PACIFICO S.A.,94638000-8,MINA LOS COLORADOS,Minería,,Extracción de minerales de hierro,B0710,Extracción de minerales de hierro,B071000,Atacama,Huasco,Huasco,3304,-28.29543931,-70.82314835,Generador Industrial,,,298.31,2,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 05 | Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5469160.0,SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES LIMITADA,SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5440488,CIA MINERA DEL PACIFICO S.A.,94638000-8,MINA LOS COLORADOS,Minería,,Extracción de minerales de hierro,B0710,Extracción de minerales de hierro,B071000,Atacama,Huasco,Huasco,3304,-28.29543931,-70.82314835,Generador Industrial,,,571.88,2,Valorización,7.0,Preparación para reutilización,,,17 04 05 | Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),,Destinatario Final,CLAUDIA XIMENA MORATA MOYA,Coquimbo,Coquimbo,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,96280,MINERA LOS PELAMBRES,96790240-3,MINERA LOS PELAMBRES,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Coquimbo,Choapa,Salamanca,4204,-31.82171643,-70.58369793,Generador Industrial,,,1.45,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,17 02 10 | Plástico HDPE (polietileno de alta densidad),17 02 10 | Plástico HDPE (polietileno de alta densidad),,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",,Destinatario Final,RECICLAJE CHOAPA SIGLO XXI LIMITADA,Illapel,Coquimbo,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,89013,COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,96567040-8,MINERA QUEBRADA BLANCA,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pica,1405,-20.99153219,-68.76780655,Generador Industrial,,,9.2,2,Valorización,,,,,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5459127.0,R01G377,SOC COMERCIAL RECMETAL COMPANIA LIMITADA,Alto Hospicio,Tarapacá,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5402844,MINERA SPENCE S.A.,86542100-1,MINERA SPENCE S.A.,Minería,,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Sierra Gorda,2103,-22.86114412,-69.29568255,Generador Industrial,,,509.72,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,17 04 07 | Metales mezclados,17 04 07 | Metales mezclados,,17 | Residuos de la construcción y demolición,,04 | Metales (incluidas sus aleaciones),5402844.0,MINERA SPENCE S.A.,MINERA SPENCE S.A.,Sierra Gorda,Antofagasta,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5463141,SALMONES BLUMAR S.A.,76653690-5,104040 - Caicura,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-41.73768015,-72.69516345,Generador Industrial,,,1.69,2,Valorización,8.0,Reciclaje,115.0,Reciclaje de escombros y carpeta asfáltica,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",,17 | Residuos de la construcción y demolición,,09 | Otros residuos de construcción y demolición,5491704.0,Remap,REMAP SPA,Puerto Varas,Los Lagos,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5491887,INMOBILIARIA SOCOVESA SANTIAGO S A,96757030-3,ALKURA V,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.2614319,-70.6355573,Generador Industrial,,,0.85,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),,,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5461523.0,RECUPAC SUCURSAL PINTANA,RECUPAC S.A.,La Pintana,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,5491887,INMOBILIARIA SOCOVESA SANTIAGO S A,96757030-3,ALKURA V,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.2614319,-70.6355573,Generador Industrial,,,1.06,1,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,,17 | Residuos de la construcción y demolición,,"02 | Madera, vidrio y plástico",5487965.0,Fundo El Peral,CRUZ Y MELLADO LIMITADA,Pudahuel,Biobío,Chile,gi-sinader-2023-ckan.xlsx,False
