anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2024,1,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,665267,2,0.028,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,665267,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,665267,2,0.029,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706113,2,28.0,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 01 01 | Hormigón,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706113,2,0.028,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706113,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706113,2,0.027,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,3,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706119,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,3,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706119,2,0.032,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,3,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,706119,2,0.028,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729213,2,0.027,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729213,2,0.028,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729213,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729228,2,25.0,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 01 01 | Hormigón,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729228,2,0.025,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729228,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,729228,2,0.029,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,6,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,739050,2,25.0,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 01 01 | Hormigón,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,6,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,739050,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,6,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,739050,2,0.028,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,6,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,739050,2,0.025,1.0,Eliminación,3.0,Disposición final,30.0,Basural,20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,7,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,756471,2,0.027,1.0,Eliminación,3.0,Disposición final,30.0,Basural,17 02 01 | Madera libre de impregnación o pinturas,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
2024,7,6,BOTTAI HERMANOS SOCIEDAD ANONIMA,80125000-9,CASA MATRIZ,"Producción de cemento, cal y yeso",8,"Fabricación de cemento, cal y yeso",C2394,"Fabricación de cemento, cal y yeso",C239400,Arica y Parinacota,Arica,Arica,15101,-18.466514769614,-70.295402898935,Generador Industrial,756471,2,0.03,1.0,Eliminación,3.0,Disposición final,30.0,Basural,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10","17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",5473154.0,VERTEDERO MUNICIPAL,I MUNICIPALIDAD DE ARICA,Arica,Arica y Parinacota,Chile,gi-sinader-2024-ckan.xlsx,False
