anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2024,4,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,720843,2,0.38,2.0,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5479798.0,bdc spa,BDC SPA,Requínoa,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,720843,2,29.615,2.0,Valorización,8.0,Reciclaje,66.0,Reciclaje de residuos de pastas y/o productos alimenticios para consumo animal,02 01 02 | Residuos de tejidos de animales,02 01 02 | Residuos de tejidos de animales,2,"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, silvicultura y caza",3862963.0,PROEX LTDA,PROEX SPA,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,720843,2,0.178,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,5457604.0,RELLENO SANITARIO COLIHUES LA YESCA,I MUNICIPALIDAD DE RANCAGUA,Requínoa,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,4,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,720843,2,7.25,1.0,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17,17 | Residuos de la construcción y demolición,9,09 | Otros residuos de construcción y demolición,5482315.0,JUST LIMITADA,JARAMILLO ULLOA SERVICIOS Y TECNOLOGIA LIMITADA,Rancagua,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,733391,2,1800.0,2.0,Valorización,62.0,Recepción de Lodos de PTAS,63.0,Aplicación a Suelo,"02 01 06 | Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan","02 01 06 | Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan",2,"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, silvicultura y caza",,,,,,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,733391,2,0.905,2.0,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5479798.0,bdc spa,BDC SPA,Requínoa,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,733391,2,0.178,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,5457604.0,RELLENO SANITARIO COLIHUES LA YESCA,I MUNICIPALIDAD DE RANCAGUA,Requínoa,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,733391,2,7.45,1.0,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,"17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17,17 | Residuos de la construcción y demolición,9,09 | Otros residuos de construcción y demolición,5482315.0,JUST LIMITADA,JARAMILLO ULLOA SERVICIOS Y TECNOLOGIA LIMITADA,Rancagua,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
2024,5,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,733391,2,24.0,2.0,Valorización,31.0,Aplicación al Suelo,123.0,Aplicación al suelo,"02 01 06 | Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan","02 01 06 | Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan",2,"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, silvicultura y caza",,MARIO ENRIQUE VEGA QUIROZ,MARIO ENRIQUE VEGA QUIROZ,Nacimiento,Biobío,Chile,gi-sinader-2024-ckan.xlsx,False
2024,6,5453311,AGRICOLA SUPER LIMITADA,88680500-4,BOSQUE VIEJO,Producción agropecuaria,1,Cría de aves de corral,A0146,Cría de aves de corral para la producción de carne,A014601,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,6105,-34.204659789033,-70.874454535874,Generador Industrial,741797,2,14.55,2.0,Valorización,8.0,Reciclaje,66.0,Reciclaje de residuos de pastas y/o productos alimenticios para consumo animal,02 01 02 | Residuos de tejidos de animales,02 01 02 | Residuos de tejidos de animales,2,"02 | Residuos de la agricultura, horticultura, silvicultura y caza; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, silvicultura y caza",3862963.0,PROEX LTDA,PROEX SPA,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2024-ckan.xlsx,False
