trazabilidad_razon_social,2021,2022,2023,2024,total_2021_2024
INVERSIONES CORMI LIMITADA,43043.443,59433.1278,44592.013,29258.00254,176326.58633999998
REGENERADORA DE MATERIALES DE CONSTRUCCION S A,28602.4976,49426.297,30394.96,22529.88,130953.63459999999
SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,4638.465,20887.302,16481.049,66875.1057,108881.9217
PROYECTOS E INGENIERIA RINCONADA S.A.,90797.52,1051.0,1278.0,10701.0,103827.52
INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,9419.234,22221.073,26454.628,29492.30088,87587.23588
CRUZ Y MELLADO LIMITADA,0.0,0.0,13073.0,33750.0,46823.0
AGRICOLA ALEJANDRO SERANI E.I.R.L,17796.72,20.01,4076.1,1498.8,23391.629999999997
INGENIERIA MAQUINARIAS Y MOVIMIENTOS DE TIERRA INGEX LTDA,0.0,0.0,0.0,18543.9,18543.9
"INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA",66.3,561.96,17338.0,228.81,18195.07
SOC MINERA ROSARIO LTDA,0.0,0.0,12330.0,0.0,12330.0
"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",11587.0,737.0,0.0,0.0,12324.0
CONSORCIO SANTA MARTA S A,3901.9,3987.058,2216.5280000000002,881.88,10987.366
ASESORIA INMOBILIARIA Y SERVICIOS CHL SPA,0.0,5413.0,0.0,0.0,5413.0
CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,0.0,241.0,3700.0,0.0,3941.0
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,0.0,1977.95,263.007,1198.818,3439.7749999999996
TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,0.0,468.7,2124.2,145.6,2738.4999999999995
CONSTRUCTORA ASFALCURA SPA,0.0,0.0,0.0,2145.916,2145.916
GESTION ECOLOGICA DE RESIDUOS S A,521.43,638.44,568.25,227.64999999999998,1955.77
K D M  S.A.,0.0,562.33,714.127,222.47,1498.927
MISIÓN VERDE SPA,0.0,0.0,0.0,810.0,810.0
RECUPAC S.A.,474.7228,0.93,134.147,81.255,691.0548
REMBRE SPA.,662.2,0.0,0.0,0.032,662.2320000000001
SOC MINERA ARRIP SA,0.0,484.0,0.0,0.0,484.0
SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,0.0,153.63,83.11999999999999,208.18,444.93
RECICLAJES RECICLADOS LIMITADA,0.0,0.0,62.87,266.271,329.141
ACEROS AZA S.A.,109.937,19.73,114.44000000000001,17.18,261.28700000000003
LAMPA SPA,0.0,0.0,80.92,140.03,220.95
SOCIEDAD COMERCIAL DE TRANSPORTES Y COMPRAVENTA PECH LIMITADA,46.19,60.42,50.029,22.994,179.633
COMERCIAL PRAXEDES DEL ROSARIO PIZARRO LANDERO SPA,58.421,2.54,36.07,19.35,116.381
RECICLAJES INDUSTRIALES S A,6.54,5.731,8.98,92.13,113.381
COMERCIAL ROMERELLI LIMITADA,6.79,0.0,28.19,23.03,58.010000000000005
RESITER INDUSTRIAL S.A.,0.0,0.0,0.0,53.27,53.27
SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES LIMITADA,52.41,0.0,0.0,0.0,52.41
LOS MAITENES SPA,0.0,24.4,0.0,0.0,24.4
MAGOTTEAUX ANDINO S.A.,0.0,6.75,9.559999999999999,0.0,16.31
MARCELO PAOLO JARA VARGAS RECICLAJE INTEGRAL ECOCICLO E.I.R.L.,0.0,0.0,0.0,10.2,10.2
SOCIEDAD COMERCIALIZADORA DE DESECHOS METALICOS Y PAPELES RECICLOM LIM,9.74,0.0,0.0,0.0,9.74
DEMARCO S.A.,6.69,0.0,0.0,0.0,6.69
MARIO MARCELO LAZO BARAHONA,6.16,0.0,0.0,0.0,6.16
NOLBERTO ORLANDO SUAREZ,0.0,0.0,5.518,0.0,5.518
SOCIEDAD COMERCIALIZADORA DE METALES CHAVARRIA Y CHAVARRIA LIMITADA,3.65,0.0,0.0,0.0,3.65
FUNDINOX CHILE SA,0.0,0.0,3.6,0.0,3.6
CIA ELECTRO METALURGICA S A,2.88,0.0,0.0,0.0,2.88
GREENDOT SPA,0.042,0.65,0.0,1.777,2.469
SUPERINTENDENCIA DEL MEDIO AMBIENTE,0.0,1.78,0.0,0.0,1.78
RECICLADOS INDUSTRIALES S.A,0.15,0.0,0.472,0.47,1.092
GREENPLAST SPA,0.0,0.0,1.04,0.0,1.04
RESIMEX SOCIEDAD ANONIMA,0.0,0.0,0.0,1.02,1.02
ECOFERRO SPA,0.0,0.0,0.0,0.38,0.38
RECYCLING S.A.,0.0,0.0,0.371,0.0,0.371
RECICLADORA 2020 SPA,0.0,0.0,0.32,0.0,0.32
INTEGRALSTART  SPA,0.0,0.0,0.0,0.284,0.284
COMERCIAL RIO ACONCAGUA SPA,0.0,0.0,0.0,0.22,0.22
