razon_social,anio,Eliminación,Recepción y Almacenamiento,Valorización,total,pct_valorizacion,n_declaraciones,rubro
0,2021,2679.81,256.554236,5217.8364169999995,8154.200653,63.989551386380384,7,Comercio mayorista
ABARROTES ECONOMICOS LIMITADA,2021,587.73,0.0,0.0,587.73,0.0,3,Comercio minorista
ACCIONA CONSTRUCCION S.A. AGENCIA CHILE,2021,0.0,0.0,0.22,0.22,100.0,1,Construcción
ACEROS AZA S.A.,2021,1329.1399999999999,0.0,0.02,1329.1599999999999,0.0015047097414908667,3,Otras industrias manufactureras
ACERTECH LIMITADA,2021,0.0,0.0,7.58,7.58,100.0,1,Otras industrias manufactureras
ACONCAGUA FOODS S.A.,2021,0.0,0.0,8.415,8.415,100.0,2,Otras industrias manufactureras
ADMINISTRADORA DE SUPERMERCADOS EXPRESS LIMITADA,2021,77.76,12.32,0.0,90.08000000000001,0.0,2,Comercio minorista
ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,2021,23.73,9.83,0.41,33.97,1.2069473064468648,3,Comercio minorista
ADMINISTRADORA DEL PRADO Y LA FORESTA SPA,2021,509.4,0.0,0.0,509.4,0.0,3,Otras actividades
AES GENER S A,2021,55.22,0.0,49.085,104.305,47.059105507885526,5,Otras centrales de generación eléctrica
AGRICOLA SAN JOSE DE PERALILLO S A,2021,0.0,8.18,31.804000000000002,39.984,79.54181672669067,5,Otras industrias manufactureras
AGUAS ANDINAS S A,2021,186.0,0.0,57.941,243.941,23.7520548001361,4,"Captación, tratamiento y distribución de agua"
AGUAS CORDILLERA S A,2021,9.61,0.0,0.0,9.61,0.0,1,"Captación, tratamiento y distribución de agua"
AGUILAR Y COMPANIA LIMITADA,2021,0.0,0.0,6.39,6.39,100.0,1,Otras industrias manufactureras
AIR LIQUIDE CHILE S A,2021,1472.91,0.0,0.0,1472.91,0.0,1,Construcción
AISLANTES VOLCAN S A,2021,0.82,0.0,18.05,18.87,95.65447800741919,2,Otras industrias manufactureras
ALGINATOS CHILE S.A.,2021,0.0,25.32,0.0,25.32,0.0,1,"Industria química, de plástico y caucho"
ALMAGRO S A,2021,2439.6330000000003,0.0,0.0,2439.6330000000003,0.0,5,Construcción
ALTO LAS PERDICES SPA,2021,1233.0,0.0,0.0,1233.0,0.0,2,Construcción
ALTO MAIPO SPA,2021,6655.11,1212.655,415.71,8283.474999999999,5.018545960481561,59,Otras centrales de generación eléctrica
AMERIS UPC DEPARTAMENTAL SPA,2021,2624.07,0.0,3.04,2627.11,0.11571650977690313,2,Construcción
AMERIS UPC DEPARTAMENTAL TRES SPA,2021,517.65,0.0,0.0,517.65,0.0,2,Construcción
ANGLO AMERICAN SUR S.A.,2021,2000.16,0.0,0.0,2000.16,0.0,1,Minería
AR ALENA SPA,2021,45.5,0.0,0.0,45.5,0.0,1,Otras centrales de generación eléctrica
AR CERRO TIGRE SPA,2021,22.35,0.0,0.0,22.35,0.0,2,Otras centrales de generación eléctrica
AR ESCONDIDO SPA,2021,8.7,0.0,0.0,8.7,0.0,1,Otras centrales de generación eléctrica
AR LLANOS DEL VIENTO SPA,2021,8.5,0.0,0.0,8.5,0.0,1,Otras centrales de generación eléctrica
AR VALLE ESCONDIDO SPA,2021,177.36,0.0,0.0,177.36,0.0,1,Otras centrales de generación eléctrica
ARAUCO SPA,2021,9520.92,0.0,0.0,9520.92,0.0,4,Otras actividades
ARRENDAMIENTOS VICUNA MACKENNA MIL CUATROCIENTOS VEINTIOCHO SPA,2021,5388.78,0.0,0.0,5388.78,0.0,2,Construcción
ARRIGONI INGENIERIA Y CONSTRUCCION S.A.,2021,11034.0,0.0,0.0,11034.0,0.0,3,Construcción
ARRIGONI METALURGICA S.A.,2021,0.0,0.0,1510.489,1510.489,100.0,1,Otras industrias manufactureras
ASTARA RETAIL CHILE SPA,2021,297.0,0.0,0.0,297.0,0.0,3,Ventas y mantención de vehículos automotores
ATCO SABINCO S.A,2021,521.43,0.0,46.19,567.6199999999999,8.13748634649942,2,Construcción
AUSTRIANSOLAR CHILE SEIS SPA,2021,192.755,0.0,0.0,192.755,0.0,1,Otras centrales de generación eléctrica
AUTOMOTRIZ SALFA SUR LIMITADA,2021,3800.0,0.0,0.0,3800.0,0.0,1,Ventas y mantención de vehículos automotores
AVSA ALTO NUNOA SPA,2021,52.2,0.0,0.0,52.2,0.0,1,Otras actividades
AVSA ALTO SANTA ISABEL SPA,2021,1033.56,0.0,0.0,1033.56,0.0,1,Otras actividades
AVSA NELSON SPA,2021,114.84,0.0,0.0,114.84,0.0,1,Otras actividades
AVSA NUEVA ZANARTU SPA,2021,1557.3000000000002,0.0,0.0,1557.3000000000002,0.0,2,Otras actividades
BANCO CENTRAL DE CHILE,2021,69.0045,0.0,0.0,69.0045,0.0,3,Otras actividades
BODENOR FLEX CENTER S A,2021,44.29,0.0,0.0,44.29,0.0,2,Otras actividades
BREDENMASTER SPA,2021,13.12,0.0,0.0,13.12,0.0,1,Otras industrias manufactureras
