anio,ranking,trazabilidad_razon_social,total,Eliminación,Recepción y Almacenamiento,Valorización,n_declaraciones
2021,1,INVERSIONES CORMI LIMITADA,258653.64819,258653.64819,0.0,0.0,219
2021,2,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,167128.3246,121071.3066,0.0,46057.018,136
2021,3,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,133601.12,133601.12,0.0,0.0,88
2021,4,INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA,121125.0,0.0,0.0,121125.0,1
2021,5,INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,115301.4459,115301.4459,0.0,0.0,181
2021,6,PROYECTOS E INGENIERIA RINCONADA S.A.,100867.97,10153.97,0.0,90714.0,6
2021,7,TERRAMAC SPA,48519.7,0.0,0.0,48519.7,1
2021,8,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,46797.59,46797.59,0.0,0.0,17
2021,9,SOC PETREOS S A,46769.21,46769.21,0.0,0.0,5
2021,10,CONSORCIO SANTA MARTA S A,42069.086,42069.086,0.0,0.0,102
2022,1,INVERSIONES CORMI LIMITADA,225993.84856,225993.84856,0.0,0.0,205
2022,2,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,128349.071,124712.071,0.0,3637.0,119
2022,3,INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,122142.554,122142.554,0.0,0.0,218
2022,4,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,89009.62,84969.12,0.0,4040.5,114
2022,5,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,65883.94,65826.34,57.6,0.0,20
2022,6,SOC PETREOS S A,52024.361,52024.361,0.0,0.0,4
2022,7,"INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA",50998.721571,50998.721571,0.0,0.0,18
2022,8,"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",30326.0,0.0,0.0,30326.0,3
2022,9,ACEROS AZA S.A.,28525.32,0.0,0.0,28525.32,40
2022,10,SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA,24862.43,13787.43,0.0,11075.0,2
2023,1,INVERSIONES CORMI LIMITADA,204354.36648,204354.36648,0.0,0.0,198
2023,2,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,130319.631,129729.631,0.0,590.0,144
2023,3,INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,126898.88512,126545.54612,353.339,0.0,200
2023,4,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,90119.48246,90119.48246,0.0,0.0,118
2023,5,CIA MINERA SANTA LAURA LIMITADA,66441.002,66441.002,0.0,0.0,13
2023,6,"INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA",52157.103,52157.103,0.0,0.0,25
2023,7,SOC PETREOS S A,47980.52,46062.01,0.0,1918.51,7
2023,8,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,47120.00678,47120.00678,0.0,0.0,33
2023,9,CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,34877.957,5763.75,16384.607,12729.6,16
2023,10,CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,26306.584000000003,25954.584000000003,0.0,352.0,5
2024,1,INVERSIONES CORMI LIMITADA,232942.88275,232942.88275,0.0,0.0,1005
2024,2,INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,169398.481664,169095.006664,20.255,283.22,1029
2024,3,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,156232.4877,156196.4877,0.0,36.0,700
2024,4,ARIDOS NORMALIZADOS RIO MAIPO LIMITADA,129175.12,129175.12,0.0,0.0,43
2024,5,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,117402.501,117402.501,0.0,0.0,899
2024,6,LOS OLIVOS SERVICIOS DE MAQUINARIAS Y CONSTRUCCIÓN LIMITADA,82890.0,82890.0,0.0,0.0,6
2024,7,SOC PETREOS S A,44935.04,44935.04,0.0,0.0,24
2024,8,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,37529.574,37529.574,0.0,0.0,92
2024,9,CRUZ Y MELLADO LIMITADA,33750.0,33750.0,0.0,0.0,3
2024,10,ACEROS AZA S.A.,24695.095,0.0,0.0,24695.095,200
