trazabilidad_razon_social,2021,2022,2023,2024,promedio
INVERSIONES CORMI LIMITADA,258653.64819,225993.84856,204354.36648,232942.88275,230486.186495
REGENERADORA DE MATERIALES DE CONSTRUCCION S A,167128.3246,128349.071,130319.631,117402.501,135799.8819
INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,115301.4459,122142.554,126898.88512,169398.481664,133435.341671
SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,133601.12,89009.62,90119.48246,156232.4877,117240.67753999999
TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,46797.59,65883.94,47120.00678,37529.574,49332.777695
SOC PETREOS S A,46769.21,52024.361,47980.52,44935.04,47927.28275
ARIDOS NORMALIZADOS RIO MAIPO LIMITADA,0.0,1939.0,10981.0,129175.12,35523.78
"INMOBILIARIA,AGRICOLA Y COMERCIAL BALTIERRA SOCIEDAD ANONIMA",25871.997,50998.721571,52157.103,10326.5545,34838.59401775
CIA MINERA SANTA LAURA LIMITADA,32062.0,19620.95,66441.002,4147.82,30567.943
PROYECTOS E INGENIERIA RINCONADA S.A.,100867.97,3280.04,5977.72,11516.0,30410.4325
INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA,121125.0,0.0,0.0,0.0,30281.25
ACEROS AZA S.A.,24197.148,28525.32,10905.296,24695.095,22080.71475
LOS OLIVOS SERVICIOS DE MAQUINARIAS Y CONSTRUCCIÓN LIMITADA,0.0,0.0,0.0,82890.0,20722.5
CONSORCIO SANTA MARTA S A,42069.086,10216.343444,9680.23994,9792.871,17939.635095999998
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,950.4,7569.950000000001,34877.957,23907.2904,16826.39935
CRUZ Y MELLADO LIMITADA,0.0,14013.58,17568.2195,33750.0,16332.949875
TERRAMAC SPA,48519.7,0.0,0.0,0.0,12129.925
"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",11587.0,30326.0,0.0,0.0,10478.25
CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,0.0,3913.27,26306.584000000003,0.0,7554.963500000001
SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA,0.0,24862.43,0.0,0.0,6215.6075
