anio,ranking,razon_social,pct_valorizacion,Valorización,total,n_declaraciones
2021,1,PLAZA EGANA SPA,99.91210632103798,102306.442,102396.442,6
2021,2,INMOBILIARIA VIVIENDAS 2000 SPA,6.778472003296704,189.0,2788.239,6
2021,3,I MUNICIPALIDAD LO BARNECHEA,1.547360801898598,45.1198,2915.9198,5
2021,4,INMOBILIARIA ERASMO ESCALA SPA,0.9171968879534508,26.504,2889.674,11
2021,5,INMOBILIARIA LATADIA SPA,0.733442476559012,6.16,839.8749999999999,5
2021,6,CONSORCIO DE SALUD SANTIAGO ORIENTE S.A. SOCIEDAD CONCESIONARIA,0.2603615618818171,83.3,31993.97,6
2021,7,CONSTRUCTORA L Y D S A,0.1017124225360886,21.88,21511.63,22
2021,8,CONSTRUCTORA ALMAGRO S A,0.06727220045604,2.67,3968.95,14
2021,9,CONSTRUCTORA BESALCO LTDA,0.0,0.0,4410.8396,13
2021,10,ALMAGRO S A,0.0,0.0,2439.6330000000003,5
2022,1,SIMONETTI INMOBILIARIA S.A.,55.339347175668685,6150.0,11113.25,8
2022,2,PLAZA EGANA SPA,53.04142240659524,1207.0,2275.58,6
2022,3,FUCHS GELLONA Y SILVA S A,33.41528990379407,4040.5,12091.77,30
2022,4,SACYR CHILE S A,0.837521820895774,31.78,3794.528,11
2022,5,I MUNICIPALIDAD LO BARNECHEA,0.1562767911818738,3.19,2041.25,6
2022,6,CONSORCIO DE SALUD SANTIAGO ORIENTE S.A. SOCIEDAD CONCESIONARIA,0.0171842745464214,10.26,59705.75000000001,6
2022,7,CONSTRUCTORA CONCRETA SPA,0.0,0.0,4155.299,9
2022,8,CONSTRUCTORA ALMAGRO S A,0.0,0.0,12627.309,15
2022,9,ALMAGRO S A,0.0,0.0,2673.58,6
2022,10,CONSTRUCTORA L Y D S A,0.0,0.0,5718.77,15
2023,1,CONSTRUCTORA CONCRETA SPA,64.28571428571429,12330.0,19180.0,8
2023,2,GUZMAN Y LARRAIN VIVIENDAS ECONOMICAS SPA,1.7165669012464728,39.181,2282.521,7
2023,3,SOCIEDAD CONCESIONARIA HOSPITAL BUIN PAINE S.A.,1.4371502728735113,11.65,810.632,9
2023,4,RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.,1.416624260138356,45.07,3181.507,8
2023,5,SACYR CHILE S A,0.8269999925474775,179.77,21737.606,24
2023,6,I MUNICIPALIDAD LO BARNECHEA,0.8264526228552134,11.847,1433.476,9
2023,7,INMOBILIARIA PILARES S.A.,0.7232737249803681,34.760000000000005,4805.926,16
2023,8,VICENTE VALDES SPA,0.4536306897027971,5.518,1216.408,5
2023,9,FUCHS GELLONA Y SILVA SPA,0.4415877532996418,26.1,5910.490000000001,19
2023,10,EBCO S.A.,0.0524573558538028,14.31,27279.301,44
2024,1,OBRASCON HUARTE LAIN S A AGENCIA EN CHILE,68.19043129265648,27644.9,40540.732,36
2024,2,TRANSPORTES Y EXCAVACIONES LTDA,14.634146341463412,810.0,5535.0,71
2024,3,GUZMAN Y LARRAIN VIVIENDAS ECONOMICAS SPA,9.323781612938236,17.18,184.26,14
2024,4,ATCO SABINCO S.A,9.173967858795743,22.994,250.644,17
2024,5,RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.,7.594056770239097,433.04,5702.354,39
2024,6,INMOBILIARIA ALTO HIPODROMO S.A.,3.6041053815539015,66.64999999999999,1849.28,21
2024,7,SOCIEDAD CONCESIONARIA HOSPITAL BUIN PAINE S.A.,0.822559464091545,59.868,7278.258,32
2024,8,SACYR CHILE S A,0.6484109539409829,293.04,45193.561,71
2024,9,ARRENDAMIENTOS INDEPENDENCIA 4.745 SPA,0.3648172006141636,2.894,793.274,24
2024,10,DESARROLLOS CONSTRUCTIVOS AXIS S A,0.2906728525075426,1.634,562.144,17
