anio,ranking,trazabilidad_razon_social,Valorización,pct_del_total_valorizado_mercado,total,n_declaraciones
2021,1,INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA,121125.0,34.18657453445773,121125.0,1
2021,2,PROYECTOS E INGENIERIA RINCONADA S.A.,90714.0,25.603309988184098,100867.97,6
2021,3,TERRAMAC SPA,48519.7,13.69430208825204,48519.7,1
2021,4,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,46057.018,12.999229545443642,167128.3246,136
2021,5,ACEROS AZA S.A.,23993.959,6.772105409537444,24197.148,42
2021,6,"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",11587.0,3.270339229149735,11587.0,1
2021,7,MOLYMETNOS S.A.,2344.121,0.6616096370219822,2355.451,2
2021,8,CIA ELECTRO METALURGICA S A,1621.21,0.4575737172425859,1621.21,3
2021,9,CRISTALERIAS DE CHILE S A,1286.52,0.363110108318436,1286.52,3
2021,10,GOMPLAS SPA,1163.042,0.32825941811933773,1163.042,4
2022,1,"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",30326.0,27.663713109223202,30326.0,3
2022,2,ACEROS AZA S.A.,28525.32,26.021112867796177,28525.32,40
2022,3,SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA,11075.0,10.102737673436884,24862.43,2
2022,4,ASESORIA INMOBILIARIA Y SERVICIOS CHL SPA,5413.0,4.9377985576807095,6613.360000000001,3
2022,5,CONSTRUCTORA LAMPA ORIENTE S.A.,4590.0,4.187048841632081,4590.0,1
2022,6,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,4040.5,3.685788855035822,89009.62,114
2022,7,CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,3913.27,3.5697282397589487,3913.27,4
2022,8,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,3637.0,3.317711685624375,128349.071,119
2022,9,SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,2509.3880000000004,2.2890915291079406,4188.343000000001,13
2022,10,MOLYMETNOS S.A.,2059.955,1.8791137683146435,2059.955,1
2023,1,SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,14228.377,20.337971352180325,16647.337,13
2023,2,CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,12729.6,18.19562695904914,34877.957,16
2023,3,SOC MINERA ROSARIO LTDA,12330.0,17.62444070552695,12330.0,2
2023,4,ACEROS AZA S.A.,10905.296,15.587975890366604,10905.296,37
2023,5,INGENIERIA MAQUINARIAS Y MOVIMIENTOS DE TIERRA INGEX LTDA,3456.0,4.939989219651349,3456.0,1
2023,6,MOLYMETNOS S.A.,2644.059,3.7794047905445973,2675.519,3
2023,7,SOC PETREOS S A,1918.51,2.7423086567688975,47980.52,7
2023,8,SOC MINERA ARRIP SA,1537.2,2.19726603832409,2461.8,4
2023,9,INMOBILIARIA E INVERSIONES DOS M LIMITADA,1098.168,1.5697158800249082,1098.168,18
2023,10,CRISTALERIAS DE CHILE S A,916.021,1.3093558637078264,916.021,3
2024,1,ACEROS AZA S.A.,24695.095,27.40012341771235,24695.095,200
2024,2,SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,18545.47,20.576886496669964,18982.49,59
2024,3,INGENIERIA MAQUINARIAS Y MOVIMIENTOS DE TIERRA INGEX LTDA,18543.9,20.575144523465738,18543.9,3
2024,4,PROYECTOS E INGENIERIA RINCONADA S.A.,9101.0,10.097896899145361,11516.0,12
2024,5,COMERCIAL ROMERELLI LIMITADA,5868.0212,6.51078706511364,5898.3222000000005,116
2024,6,MOLYMETNOS S.A.,2918.603,3.238298229154637,2918.603,13
2024,7,INMOBILIARIA E INVERSIONES DOS M LIMITADA,1185.345,1.3151842215050498,1214.556,154
2024,8,EXXAN SPA,1119.459,1.2420812619294987,1387.558,35
2024,9,MISIÓN VERDE SPA,810.0,0.8987250289317374,810.0,10
2024,10,CRISTALERIAS TORO SPA,705.37,0.7826341650093577,705.37,12
