trazabilidad_razon_social,2021,2022,2023,2024,promedio
INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA,121125.0,0.0,0.0,0.0,30281.25
PROYECTOS E INGENIERIA RINCONADA S.A.,90714.0,1335.0,135.0,9101.0,25321.25
ACEROS AZA S.A.,23993.959,28525.32,10905.296,24695.095,22029.9175
REGENERADORA DE MATERIALES DE CONSTRUCCION S A,46057.018,3637.0,590.0,0.0,12571.0045
TERRAMAC SPA,48519.7,0.0,0.0,0.0,12129.925
"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA",11587.0,30326.0,0.0,0.0,10478.25
SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES SA,0.0,2509.3880000000004,14228.377,18545.47,8820.80875
INGENIERIA MAQUINARIAS Y MOVIMIENTOS DE TIERRA INGEX LTDA,0.0,0.0,3456.0,18543.9,5499.975
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,0.0,0.0,12729.6,326.6724,3264.0681
SOC MINERA ROSARIO LTDA,0.0,0.0,12330.0,0.0,3082.5
SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA,0.0,11075.0,0.0,0.0,2768.75
MOLYMETNOS S.A.,2344.121,2059.955,2644.059,2918.603,2491.6845000000003
COMERCIAL ROMERELLI LIMITADA,925.862,638.170286,428.382,5868.0212,1965.1088715
ASESORIA INMOBILIARIA Y SERVICIOS CHL SPA,0.0,5413.0,0.0,0.0,1353.25
CONSTRUCTORA LAMPA ORIENTE S.A.,0.0,4590.0,0.0,0.0,1147.5
CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,0.0,3913.27,352.0,0.0,1066.3175
SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,0.0,4040.5,0.0,36.0,1019.125
CRISTALERIAS DE CHILE S A,1286.52,1262.895,916.021,335.79,950.3064999999999
INMOBILIARIA E INVERSIONES DOS M LIMITADA,488.742,739.001,1098.168,1185.345,877.8140000000001
CIA ELECTRO METALURGICA S A,1621.21,1068.06,352.21,402.51,860.9975
EXXAN SPA,0.0,1697.43,487.677,1119.459,826.1415
SOC PETREOS S A,0.0,0.0,1918.51,0.0,479.6275
GOMPLAS SPA,1163.042,199.204,202.8,87.144,413.04749999999996
SOC MINERA ARRIP SA,0.0,0.0,1537.2,0.0,384.3
CRISTALERIAS TORO SPA,23.75,98.29,265.96000000000004,705.37,273.34250000000003
MISIÓN VERDE SPA,0.0,0.0,0.0,810.0,202.5
