empresa,fuentes,n_fuentes
ACEROS AZA S.A.,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
CENTRO DE MANEJO INTEGRAL RESIDUOS METROPOLITANOS SPA,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
"INGENIERIA, MOVIMIENTO DE TIERRA Y ARIDOS ECAVAL SPA","competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
PROYECTOS E INGENIERIA RINCONADA S.A.,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
REGENERADORA DE MATERIALES DE CONSTRUCCION S A,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,"competidor_elegido_por_cliente_verde, lista1_disposicion, lista3_valorizacion",3
ALMAGRO S A,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
ASESORIA INMOBILIARIA Y SERVICIOS CHL SPA,"competidor_elegido_por_cliente_verde, lista3_valorizacion",2
ATCO SABINCO S.A,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CIA ELECTRO METALURGICA S A,"competidor_elegido_por_cliente_verde, lista3_valorizacion",2
COMERCIAL ROMERELLI LIMITADA,"competidor_elegido_por_cliente_verde, lista3_valorizacion",2
CONSORCIO DE SALUD SANTIAGO ORIENTE S.A. SOCIEDAD CONCESIONARIA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CONSORCIO SANTA MARTA S A,"competidor_elegido_por_cliente_verde, lista1_disposicion",2
CONSTRUCTORA ALMAGRO S A,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CONSTRUCTORA BESALCO LTDA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CONSTRUCTORA CONCRETA SPA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CONSTRUCTORA L Y D S A,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
CRUZ Y MELLADO LIMITADA,"competidor_elegido_por_cliente_verde, lista1_disposicion",2
EBCO S.A.,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
FUCHS GELLONA Y SILVA S A,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
FUCHS GELLONA Y SILVA SPA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
GUZMAN Y LARRAIN VIVIENDAS ECONOMICAS SPA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
I MUNICIPALIDAD LO BARNECHEA,"lista2_cliente_verde_magnitud, lista2_cliente_verde_pct",2
INDUSTRIAL Y MINERA LOS ESTEROS LIMITADA,"competidor_elegido_por_cliente_verde, lista1_disposicion",2
INGENIERIA MAQUINARIAS Y MOVIMIENTOS DE TIERRA INGEX LTDA,"competidor_elegido_por_cliente_verde, lista3_valorizacion",2
INGENIERIA Y CONSTRUCCIONES INGECOX LIMITADA,"lista1_disposicion, lista3_valorizacion",2
