anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2021,,1031669,COMPLEJO INDUSTRIAL MOLYNOR S.A.,76016222-1,COMPLEJO INDUSTRIAL MOLYNOR S.A.,Otras industrias manufactureras,10,Fabricación de productos primarios de metales preciosos y otros metales no ferrosos,C2420,Fabricación de productos primarios de metales preciosos y de otros metales no ferrosos n.c.p.,C242009,Antofagasta,Antofagasta,Mejillones,2102,-23.06031555,-70.37413281,Destinatario Final,,1,532.593,5.0,Recolección,,,44,Pretratamiento de Metales, Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2021-ckan.csv,False
2021,,1279275,SOC EXPLOTADORA DE ARIDOS ARIMIX LIMITADA,78892390-2,ARIMIX LIMITADA,Minería,4,"Extracción de piedra, arena y arcilla",B0810,"Extracción de piedra, arena y arcilla",B081000,La Araucanía,Cautín,Villarrica,9120,-39.282015,-72.23078515,Destinatario Final,,1,727.2,1.0,Eliminación,,,60,Sitio de Escombros de la Construcción," Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17,17 | Residuos de la construcción y demolición,9,09 | Otros residuos de construcción y demolición,,,,,,,df-sinader-2021-ckan.csv,False
2021,,1279275,SOC EXPLOTADORA DE ARIDOS ARIMIX LIMITADA,78892390-2,ARIMIX LIMITADA,Minería,4,"Extracción de piedra, arena y arcilla",B0810,"Extracción de piedra, arena y arcilla",B081000,La Araucanía,Cautín,Villarrica,9120,-39.282015,-72.23078515,Destinatario Final,,1,299.0,1.0,Eliminación,,,60,Sitio de Escombros de la Construcción," Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06","17 01 07 | Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06",17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",,,,,,,df-sinader-2021-ckan.csv,False
2021,,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,15,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.58066129,-73.16120009,Destinatario Final,,1,5.49,5.0,Recolección,,,45,Pretratamiento de plásticos, Envases de plástico,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,,,,,df-sinader-2021-ckan.csv,False
2021,,414080,SCM MINERA LUMINA COPPER CHILE,99531960-8,MINERA CASERONES,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Atacama,Copiapó,Tierra Amarilla,3103,-28.1537314,-69.7876509,Destinatario Final,,1,964.945,1.0,Eliminación,,,11,Relleno sanitario, Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,,,,,,,df-sinader-2021-ckan.csv,False
2021,,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,15,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.58066129,-73.16120009,Destinatario Final,,1,305.139,2.0,Valorización,,,18,Reciclaje de plásticos, Residuos de plásticos (excepto embalajes),02 01 04 | Residuos de plásticos (excepto embalajes),2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",,,,,,,df-sinader-2021-ckan.csv,False
2021,,5402844,MINERA SPENCE S A,86542100-1,MINERA SPENCE S.A.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Sierra Gorda,2103,-22.86114412,-69.29568255,Destinatario Final,,1,1463.992,1.0,Eliminación,,,11,Relleno sanitario, Metales mezclados,17 04 07 | Metales mezclados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2021-ckan.csv,False
2021,,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,15,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.58066129,-73.16120009,Destinatario Final,,1,0.8,2.0,Valorización,,,18,Reciclaje de plásticos, Otras fracciones no especificadas en otra categoría,20 01 99 | Otras fracciones no especificadas en otra categoría,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,df-sinader-2021-ckan.csv,False
2021,,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,15,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.58066129,-73.16120009,Destinatario Final,,1,0.42,2.0,Valorización,,,7,Preparación para reutilización, Lodos del tratamiento in situ de efluentes,02 02 04 | Lodos del tratamiento in situ de efluentes,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",2,"02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal",,,,,,,df-sinader-2021-ckan.csv,False
2021,,5451966,ACEROS AZA S.A.,92176000-0,CENTRO DE RECICLAJE ANTOFAGASTA,Otras industrias manufactureras,10,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Antofagasta,Antofagasta,Antofagasta,2101,-23.5846274,-70.25448295,Destinatario Final,,1,733.866,2.0,Valorización,,,20,Reciclaje de metales, Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2021-ckan.csv,False
2021,,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,15,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.58066129,-73.16120009,Destinatario Final,,1,233.03,2.0,Valorización,,,22,Reciclaje de Residuos voluminosos, Residuos no especificados en otra categoría,02 01 99 | Residuos no especificados en otra categoría,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",,,,,,,df-sinader-2021-ckan.csv,False
