anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2022,,5440322,MINERA ANTUCOYA,76079669-7,MINERA ANTUCOYA,Minería,4.0,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Antofagasta,Antofagasta,Mejillones,2102,-22.622444473777,-69.838470110231,Destinatario Final,,1,316.25,1,Eliminación,,,11,Relleno sanitario,20 03 01 ,20 03 01 | Mezclas de residuos municipales,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,03 | Otros residuos municipales,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5461522,RECUPAC S.A.,96588400-9,RECUPAC SUCURSAL CERRILLOS,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Metropolitana de Santiago,Santiago,Cerrillos,13102,-33.491070576744,-70.717452343108,Destinatario Final,,1,6.221,1,Eliminación,,,1,Eliminación,15 01 02 ,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5461523,RECUPAC S.A.,96588400-9,RECUPAC SUCURSAL PINTANA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Metropolitana de Santiago,Santiago,La Pintana,13112,-33.584499416591,-70.619657584284,Destinatario Final,,1,2.55,2,Valorización,,,24,Co-incineración,17 02 01 ,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5459852,ESPINOZA HERMANOS LIMITADA,76126367-6,ESPINOZA HERMANOS LIMITADA,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Atacama,Huasco,Vallenar,3301,-28.290438355457,-70.697985791257,Destinatario Final,,2,415.47,2,Valorización,,,20,Reciclaje de metales,17 04 07 ,17 04 07 | Metales mezclados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5452838,GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.,76562260-3,GEOBARRA EXINS LTDA,Gestores de residuos,15.0,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,Libertador Gral. Bernardo O'Higgins,Cachapoal,Rengo,6115,-34.350119067544,-70.842300871787,Destinatario Final,,1,0.24,2,Valorización,,,2,Valorización,17 02 01 ,17 02 01 | Madera libre de impregnación o pinturas,17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5477453,TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA,76329535-4,BOTADERO TRABUN,Construcción,16.0,Preparación del terreno,F4312,Preparación del terreno,F431200,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.551511739694,-70.750118784159,Destinatario Final,,1,56.221,1,Eliminación,,,11,Relleno sanitario,12 01 04 ,12 01 04 | Polvo y partículas de metales no férreos,12,12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,1,01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5460733,GREENDOT SPA,76469170-9,GREENDOT,Gestores de residuos,15.0,Recogida de desechos no peligrosos,E3811,Recogida de desechos no peligrosos,E381100,Metropolitana de Santiago,Maipo,Buin,13402,-33.735424286439,-70.721011675005,Destinatario Final,,1,0.403,2,Valorización,,,18,Reciclaje de plásticos,17 02 03 ,"17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10",17,17 | Residuos de la construcción y demolición,2,"02 | Madera, vidrio y plástico",,,,,,,df-sinader-2022-ckan.csv,False
2022,,5486067,COSEMAR S A,96827370-1,RELLENO SANITARIO SANTA INÉS,Gestores de residuos,15.0,Tratamiento y eliminación de desechos no peligrosos,E3821,Tratamiento y eliminación de desechos no peligrosos,E382100,Tarapacá,Iquique,Alto Hospicio,1107,-20.1976946265743,-70.0620670318604,Destinatario Final,,1,22.2,1,Eliminación,,,11,Relleno sanitario,10 01 99 ,10 01 99 | Residuos no especificados en otra categoría,10,10 | Residuos de procesos térmicos,1,01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),,,,,,,df-sinader-2022-ckan.csv,False
2022,,5483718,F4F SPA,76400774-3,Planta Maule,Otras industrias manufactureras,10.0,Elaboración de piensos preparados para animales,C1080,Elaboración de piensos preparados para animales,C108000,Maule,Talca,Maule,7105,-35.4594348797351,-71.6492339846558,Destinatario Final,,1,38.076,2,Valorización,,,68,Reducción de residuos orgánicos en base a larvas de insectos,02 05 01 ,02 05 01 | Materiales inadecuados para el consumo o la elaboración,2,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",5,05 | Residuos de la industria de productos lácteos,,,,,,,df-sinader-2022-ckan.csv,False
2022,,5466790,JAIME PATRICIO PINNINGHOFF AZÓCAR GESTION AMBIENTAL EMPRESA INDIVIDUAL,76334479-7,MI GRAN CHILE,Gestores de residuos,15.0,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301,-40.573721800784,-73.144106775245,Destinatario Final,,1,46.527,5,Recolección,,,45,Pretratamiento de plásticos,15 01 02 ,15 01 02 | Envases de plástico,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,,,,,df-sinader-2022-ckan.csv,False
2022,,8876,SOC NACIONAL METALURGICA LTDA,80411800-4,SOC NACIONAL METALURGICA LTDA,Otras industrias manufactureras,10.0,Fundición de metales no ferrosos,C2432,Fundición de metales no ferrosos,C243200,Metropolitana de Santiago,Santiago,San Joaquín,13129,-33.479064633483,-70.63568583611,Destinatario Final,,1,1.259,2,Valorización,,,20,Reciclaje de metales,17 04 02 ,17 04 02 | Aluminio,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),,,,,,,df-sinader-2022-ckan.csv,False
