anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2016,0,21897,FUND INSTITUTO PROFESIONAL DUOC UC,72754700-2,DUOC UC SEDE ANTONIO VARAS,Otras actividades,,Enseñanza superior en universidades,P8531,Enseñanza superior en universidades públicas,P853110,Metropolitana de Santiago,Santiago,Providencia,13123,-33.43331685,-70.61559513,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Otras fracciones no especificadas en otra categoría,Otras fracciones no especificadas en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),7803.0,RELLENO SANITARIO LOMA LOS COLORADOS,K D M  S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,4587808,EMPRESAS CAROZZI S A,96591040-9,COMPLEJO INDUSTRIAL NOS,Otras industrias manufactureras,,Elaboración de almidones y productos derivados del almidón,C1062,Elaboración de almidones y productos derivados del almidón,C106200,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.64899733,-70.71129932,Generador Industrial,,,0.63,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5467846.0,VICTOR PIUTRIN MORENO,PIUTRIN,Puente Alto,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,2291868,SALMONES CAMANCHACA S A,76065596-1,RÍO DEL ESTE,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Llanquihue,Cochamó,10103,-41.38666028,-72.27729735,Generador Industrial,,,0.63,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5469624.0,ECOFIBRAS SUCURSAL PUERTO MONTT,ECOFIBRAS S A,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,246175,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,HPERMERCADO PLAZA VESPUCIO,Comercio minorista,,Venta al por menor de alimentos en comercios especializados,G4721,Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),G472101,Metropolitana de Santiago,Santiago,La Florida,13110,-33.51728092,-70.59651533,Generador Industrial,,,0.63,2.0,Valorización,7.0,Preparación para reutilización,,,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459970.0,BIOILS SPA,BIOILS SPA,Maipú,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5467149,TELEPIZZA CHILE SA,96639920-1,TELEPIZZA MALL PLAZA VESPUCIO,Otras actividades,,Actividades de restaurantes y de servicio móvil de comidas,I5610,Actividades de restaurantes y de servicio móvil de comidas,I561000,Metropolitana de Santiago,Santiago,La Florida,13110,-33.51772989,-70.59876302,Generador Industrial,,,0.63,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),40.0,Pretratamiento de aceites y grasas comestibles,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,SOCIEDAD GENERAL RENDERING CHILE LTDA,,,,gi-sinader-2016-ckan.xlsx,False
2016,0,5402594,RENDIC HERMANOS S A,81537600-5,CD LO AGUIRRE,Comercio minorista,,Venta al por menor de alimentos en comercios especializados,G4721,Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),G472101,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.41086391,-70.83577722,Generador Industrial,,,0.63,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5458853.0,SOREPA PUDAHUEL,SOC RECUPERADORA DE PAPEL S A,San Joaquín,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5442169,BUSES VULE S.A.,76071048-2,BUSES VULE LOURDES,Otras actividades,,Transporte interurbano de pasajeros por ferrocarril,H4911,Transporte interurbano de pasajeros por ferrocarril,H491100,Metropolitana de Santiago,Santiago,Maipú,13119,-33.51666592,-70.76666376,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos no especificados de otra forma,Residuos no especificados de otra forma,16.0,Residuos no especificados en otro capítulo de la lista,1.0,"Vehículos de diferentes medios de transporte (incluidas las máquinas no de carretera) al final de su vida útil y residuos del desguace de vehículos al final de su vida útil y del mantenimiento de vehículos (excepto los de los capítulos 13, 14 y los subcapítulos 16 06 y 16 08)",7803.0,RELLENO SANITARIO LOMA LOS COLORADOS,K D M  S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5469966,PROVEEDORA GENERAL DE ALIMENTOS S A,78198300-4,PROGAL SA,Otras actividades,,Transporte de carga por ferrocarril,H4912,Transporte de carga por ferrocarril,H491200,Metropolitana de Santiago,Santiago,Independencia,13108,-33.42866042,-70.65615351,Generador Industrial,,,0.63,2.0,Valorización,8.0,Reciclaje,27.0,Compostaje,Residuos de tejidos de vegetales,Residuos de tejidos de vegetales,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5453558.0,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5452076,METALURGICA Y MECANICAS MIDAS LIMITADA,76008262-7,MIDAS CHILE,Gestores de residuos,,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.32468418,-70.7266307,Generador Industrial,,,0.63,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,19.0,"Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial",12.0,"Residuos del tratamiento mecánico de residuos (por ejemplo, clasificación, trituración, compactación, peletización) no especificados en otra categoría",5461524.0,RECUPAC SUCURSAL HUECHURABA,RECUPAC S A,Huechuraba,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5461766,ALS PATAGONIA S A,96802440-K,ALS PATAGONIA COLINA,Otras actividades,,Ensayos y análisis técnicos,M7120,Actividades de plantas de revisión técnica para vehículos automotores,M712001,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.30162348,-70.70974447,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,5458093.0,ESTACION DE TRANSFERENCIA CERRO LOS CONDORES,GESTION ECOLOGICA DE RESIDUOS S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5453270,AGRICOLA SUPER LIMITADA,88680500-4,SANTA ROSA,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.97262144,-71.29357468,Generador Industrial,,,0.63,2.0,Valorización,7.0,Preparación para reutilización,,,Envases de plástico,Envases de plástico,15.0,"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1.0,Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,Inverplast EIRL,,,,gi-sinader-2016-ckan.xlsx,False
2016,0,323889,SOC CONCESIONARIA ARENA BICENTENARIO S A,99573420-6,SOCIEDAD CONCESIONARIA ARENA BICENTENARIO S.A,Otras actividades,,Actividades de grabación de sonido y edición de música,J5920,Actividades de grabación de sonido y edición de música,J592000,Metropolitana de Santiago,Santiago,Santiago,13101,-33.46270186,-70.66374064,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos biodegradables de cocinas y restaurantes,Residuos biodegradables de cocinas y restaurantes,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5442871,FUNDACION TODO CHILENTER,65178170-1,FUNDACIÓN CHILENTER,Otras actividades,,Otras actividades de servicios personales n.c.p.,S9609,"Servicios de adiestramiento, guardería, peluquería, paseo de mascotas (excepto act. veterinarias)",S960901,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.44226831,-70.69424447,Generador Industrial,,,0.63,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Metales,Metales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5467254.0,METALES Y ALUMINIOS SA RENCA,METALES Y ALUMINIOS S.A.,Renca,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5461069,ABARROTES ECONOMICOS S.A.,76833720-9,SUPER BODEGA ACUENTA EL MONTE,Comercio minorista,,Venta al por menor de alimentos en comercios especializados,G4721,Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),G472101,Metropolitana de Santiago,Talagante,El Monte,13602,-33.681266,-70.98197407,Generador Industrial,,,0.63,2.0,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5461854.0,SOCIEDAD RECUPERADORA DE PAPELES,SOC RECUPERADORA DE PAPEL S A,San Joaquín,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,2919,BASF CHILE S A,80043600-1,BASF PLANTA CONCON,"Industria química, de plástico y caucho",,Fabricación de otros productos químicos n.c.p.,C2029,Fabricación de otros productos químicos n.c.p.,C202909,Valparaíso,Valparaíso,Quintero,5107,-32.91396244,-71.49705375,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,33.0,Depósito de Seguridad,Envases mezclados,Envases mezclados,15.0,"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1.0,Envases (incluidos los residuos de envases de la recogida selectiva municipal),90327.0,PLANTA PUDAHUEL,HIDRONOR CHILE S A,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5468540,IPAM TECHNOLOGY S.A.,76350855-2,IPAM TECHNOLOGY SA,Otras industrias manufactureras,,Fabricación de equipo de comunicaciones,C2630,Fabricación de equipo de comunicaciones,C263000,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.3730006,-70.73849453,Generador Industrial,,,0.63,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),7803.0,RELLENO SANITARIO LOMA LOS COLORADOS,K D M  S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,0.63,2.0,Valorización,7.0,Preparación para reutilización,,,Madera,Madera,,Residuos de la construcción y demolición ,,"Madera, vidrio y plástico",,,ADOLFO JARA NUNEZ ,,,,gi-sinader-2016-ckan.xlsx,False
2016,0,8569,PROCTER & GAMBLE CHILE LIMITADA,96656660-4,PROCTER AND GAMBLE CHILE LTDA,"Industria química, de plástico y caucho",,Fabricación de fibras artificiales,C2030,Fabricación de fibras artificiales,C203000,Metropolitana de Santiago,Santiago,Macul,13118,-33.48349888,-70.6173443,Generador Industrial,,,0.626,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5460733.0,GREENDOT,GREENDOT SPA,Buin,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,8569,PROCTER & GAMBLE CHILE LIMITADA,96656660-4,PROCTER AND GAMBLE CHILE LTDA,"Industria química, de plástico y caucho",,Fabricación de fibras artificiales,C2030,Fabricación de fibras artificiales,C203000,Metropolitana de Santiago,Santiago,Macul,13118,-33.48349888,-70.6173443,Generador Industrial,,,0.623,2.0,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5460733.0,GREENDOT,GREENDOT SPA,Buin,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,99190,ADMINISTRADORA DE RESTAURANTES ARESTA S A,96884060-6,PIZZA HUT GUARDIA VIEJA,Otras actividades,,Actividades de restaurantes y de servicio móvil de comidas,I5610,Actividades de restaurantes y de servicio móvil de comidas,I561000,Metropolitana de Santiago,Santiago,Providencia,13123,-33.42368755,-70.61056626,Generador Industrial,,,0.621,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),40.0,Pretratamiento de aceites y grasas comestibles,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5466728.0,SOCIEDAD GENERAL RENDERING CHILE SA,SOCIEDAD GENERAL RENDERING CHILE LIMITADA,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5467231,ADMINISTRADORA DE RESTAURANTES ARESTA S A,96884060-6,PIZZA HUT LA SERENA,Otras actividades,,Actividades de restaurantes y de servicio móvil de comidas,I5610,Actividades de restaurantes y de servicio móvil de comidas,I561000,Coquimbo,Elqui,La Serena,4101,-29.93133244,-71.25952058,Generador Industrial,,,0.621,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),40.0,Pretratamiento de aceites y grasas comestibles,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5466728.0,SOCIEDAD GENERAL RENDERING CHILE SA,SOCIEDAD GENERAL RENDERING CHILE LIMITADA,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5453250,AGRICOLA SUPER LIMITADA,88680500-4,PLANTEL DE CERDOS MISTER DIC,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.90169624,-71.58196549,Generador Industrial,,,0.62,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,78709.0,RELLENO SANITARIO SANTIAGO PONIENTE,VEOLIA SU CHILE SA,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
2016,0,5469018,EKONO LIMITADA,76473580-3,EKONO  SAN  PABLO II,Comercio minorista,,Venta al por menor de alimentos en comercios especializados,G4721,Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),G472101,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.44167921,-70.76237742,Generador Industrial,,,0.62,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459117.0,SOREPA,SOC RECUPERADORA DE PAPEL S A,San Joaquín,Metropolitana de Santiago,Chile,gi-sinader-2016-ckan.xlsx,False
