anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2022,0,87186,AGUAS CLARAS S A,96509550-0,LIUCURA (100680),Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Chiloé,Puqueldón,10206,-42.60143764,-73.67148696,Generador Industrial,,,2.7743,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 01 99 | Otras fracciones no especificadas en otra categoría,20 01 99 | Otras fracciones no especificadas en otra categoría,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5478555.0,CONSORCIO COLLIPULLI,CONSORCIO COSEMAR Y WILLIAM IVES S.A,Collipulli,La Araucanía,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5474384,LIVING ACALIS SPA,76188162-0,LIVING ALCALIS VALLE ALEGRE,Otras actividades,,Actividades de atención en instituciones para personas de edad y personas con discapacidad,Q8730,Actividades de atención en instituciones para personas de edad y personas con discapacidad física,Q873000,Metropolitana de Santiago,Santiago,Las Condes,13114,-33.38228559,-70.52552371,Generador Industrial,,,26.35,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,7803.0,RELLENO SANITARIO LOMA LOS COLORADOS,K D M  S.A.,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5474008,SOCIEDAD DISTRIBUIDORA DE ARTICULOS DE ASEO Y ENVASADORA DE CERAS Y DE,76413996-8,LLABRES INDUSTRIAL,"Industria química, de plástico y caucho",,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",C2023,"Fabricación de jabones y detergentes, preparados para limpiar, perfumes y preparados de tocador",C202300,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.42740896,-70.70326959,Generador Industrial,,,0.06,2,Valorización,,,,,07 06 99 | Residuos no especificados en otra categoría,07 06 99 | Residuos no especificados en otra categoría,,07 | Residuos de procesos químicos orgánicos,,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",5457610.0,MARIO GERARDO SANCHEZ MALDONADO,MARIO GERARDO SANCHEZ MALDONADO,Quinta Normal,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5474008,SOCIEDAD DISTRIBUIDORA DE ARTICULOS DE ASEO Y ENVASADORA DE CERAS Y DE,76413996-8,LLABRES INDUSTRIAL,"Industria química, de plástico y caucho",,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",C2023,"Fabricación de jabones y detergentes, preparados para limpiar, perfumes y preparados de tocador",C202300,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.42740896,-70.70326959,Generador Industrial,,,0.18,2,Valorización,7.0,Preparación para reutilización,,,07 06 99 | Residuos no especificados en otra categoría,07 06 99 | Residuos no especificados en otra categoría,,07 | Residuos de procesos químicos orgánicos,,"06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos",5457610.0,MARIO GERARDO SANCHEZ MALDONADO,MARIO GERARDO SANCHEZ MALDONADO,Quinta Normal,Metropolitana de Santiago,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,0.145,2,Valorización,7.0,Preparación para reutilización,,,02 01 99 | Residuos no especificados en otra categoría,02 01 99 | Residuos no especificados en otra categoría,,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5466790.0,MI GRAN CHILE,JAIME PATRICIO PINNINGHOFF AZÓCAR GESTION AMBIENTAL EMPRESA INDIVIDUAL,Osorno,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,0.272,2,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",02 01 99 | Residuos no especificados en otra categoría,02 01 99 | Residuos no especificados en otra categoría,,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5462064.0,SOREPA PUERTO MONTT,SOC RECUPERADORA DE PAPEL SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,2.131,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,02 01 04 | Residuos de plásticos (excepto embalajes),02 01 04 | Residuos de plásticos (excepto embalajes),,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5461561.0,RECICLAJE MUNDO SUR,RECICLAJE MUNDO SUR SPA.,Puerto Montt,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,3.86,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,02 01 04 | Residuos de plásticos (excepto embalajes),02 01 04 | Residuos de plásticos (excepto embalajes),,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5472445.0,RECOLLECT,RECOLLECT SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,4.382,1,Eliminación,3.0,Disposición final,30.0,Basural,02 01 99 | Residuos no especificados en otra categoría,02 01 99 | Residuos no especificados en otra categoría,,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5461689.0,VERTEDERO MUNICIPAL LA LAJA,I MUNICIPALIDAD DE PUERTO VARAS,Puerto Varas,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
2022,0,5462998,PRODUCTOS DEL MAR VENTISQUEROS S A,96545040-8,LLANCAHUE S4,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Lagos,Palena,Hualaihué,10403,-42.10726848,-72.48928109,Generador Industrial,,,5.99,1,Eliminación,3.0,Disposición final,14.0,Monorelleno,02 01 01 | Lodos de lavado y limpieza,02 01 01 | Lodos de lavado y limpieza,,"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",,"01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5462276.0,ECOPRIAL,ASESORIAS LOS OLIVOS S.A.,Osorno,Los Lagos,Chile,gi-sinader-2022-ckan.xlsx,False
