obra_id,obra_nombre,fecha_apertura,fecha_cierre,estado_actual,n_eventos_registrados,duracion_meses,volumen,total_retiros_2021_2026,n_meses_con_retiros,retiros_promedio_mes_activo,flag_estado_discrepante,flag_n_eventos_no_coincide,flag_sin_apertura_registrada,nombre_variantes_detectadas,fecha_primer_retiro_guias,fecha_ultimo_retiro_guias
3695,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3735,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3774,3774 Campus Santander (GREENREC),antes de 2021,,suspendida,0.0,,9.0,691,20,34.55,False,False,True,1,2024-03-08,2025-10-03
3775,3775 Campus Santander (MADERA),antes de 2021,,suspendida,0.0,,9.0,87,17,5.12,False,False,True,1,2024-03-08,2025-10-02
3776,,antes de 2021,,suspendida,0.0,,,0,0,,False,False,True,0,,
3779,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3806,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3807,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3808,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3820,3820 San Nicolas Madera,antes de 2021,,suspendida,0.0,,,2,1,2.0,False,False,True,1,2024-06-04,2024-06-06
3821,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3822,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3823,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3852,3852 Chicauma 2,antes de 2021,,cerrada,0.0,,,1,1,1.0,False,False,True,1,2024-07-26,2024-07-26
3893,,antes de 2021,,cerrada,0.0,,,0,0,,False,False,True,0,,
3925,,antes de 2021,,,0.0,,0.0,0,0,,False,False,True,0,,
4085,,antes de 2021,,,0.0,,,0,0,,True,False,True,0,,
4091,,antes de 2021,,,0.0,,,0,0,,True,False,True,0,,
4136,,antes de 2021,,,0.0,,,0,0,,True,False,True,0,,
4138,,antes de 2021,,,0.0,,,0,0,,True,False,True,0,,
4139,4139 Edificio Ciudadano Prat,antes de 2021,,,0.0,,9.0,71,5,14.2,True,False,True,1,2026-04-02,2026-08-31
4140,4140 I- 1518 Arrayanes V,antes de 2021,,,0.0,,10.0,26,5,5.2,True,False,True,1,2026-04-01,2026-08-26
