año;rol_establecimiento;id_rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;id_rubro_vu;entrada_salida;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento_nivel_3;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;id_capitulo_ler;subcapitulo_ler;id_subcapitulo_ler;nombre_ler;id_nombre_ler;ler_codigo;id_ler_codigo
2021;Destinatario Final;4;1031669;COMPLEJO INDUSTRIAL MOLYNOR S.A.;COMPLEJO INDUSTRIAL MOLYNOR S.A.;76016222-1;Fabricación de productos primarios de metales preciosos y otros metales no ferrosos;C2420;Fabricación de productos primarios de metales preciosos y de otros metales no ferrosos n.c.p.;C242009;-23,06031555;-70,37413281;2102;Mejillones;Antofagasta;Antofagasta;Otras industrias manufactureras;10;1;532,593;Pretratamiento de Metales;44;Recolección;5;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 05 | Hierro y acero no galvanizados;5; Hierro y acero no galvanizados;170405
2021;Destinatario Final;4;1279275;ARIMIX LIMITADA;SOC EXPLOTADORA DE ARIDOS ARIMIX LIMITADA;78892390-2;Extracción de piedra, arena y arcilla;B0810;Extracción de piedra, arena y arcilla;B081000;-39,282015;-72,23078515;9120;Villarrica;Cautín;La Araucanía;Minería;4;1;727,2;Sitio de Escombros de la Construcción;60;Eliminación;1;17 | Residuos de la construcción y demolición;17;09 | Otros residuos de construcción y demolición;9;17 09 04 | Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;4; Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03;170904
2021;Destinatario Final;4;1279275;ARIMIX LIMITADA;SOC EXPLOTADORA DE ARIDOS ARIMIX LIMITADA;78892390-2;Extracción de piedra, arena y arcilla;B0810;Extracción de piedra, arena y arcilla;B081000;-39,282015;-72,23078515;9120;Villarrica;Cautín;La Araucanía;Minería;4;1;299;Sitio de Escombros de la Construcción;60;Eliminación;1;17 | Residuos de la construcción y demolición;17;01 | Hormigón, ladrillos, tejas y materiales cerámicos;1;17 01 07 | Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;7; Mezclas de hormigón, ladrillos, tejas y materiales cerámicos, distintas de las especificadas en el código 17 01 06;170107
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;5,49;Pretratamiento de plásticos;45;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;15 01 02 | Envases de plástico;2; Envases de plástico;150102
2021;Destinatario Final;4;414080;MINERA CASERONES;SCM MINERA LUMINA COPPER CHILE;99531960-8;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;-28,1537314;-69,7876509;3103;Tierra Amarilla;Copiapó;Atacama;Minería;4;1;964,945;Relleno sanitario;11;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1; Mezclas de residuos municipales;200301
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;305,139;Reciclaje de plásticos;18;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 04 | Residuos de plásticos (excepto embalajes);4; Residuos de plásticos (excepto embalajes);20104
2021;Destinatario Final;4;5402844;MINERA SPENCE S.A.;MINERA SPENCE S A;86542100-1;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;-22,86114412;-69,29568255;2103;Sierra Gorda;Antofagasta;Antofagasta;Minería;4;1;1463,992;Relleno sanitario;11;Eliminación;1;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;7; Metales mezclados;170407
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;0,8;Reciclaje de plásticos;18;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 99 | Otras fracciones no especificadas en otra categoría;99; Otras fracciones no especificadas en otra categoría;200199
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;0,42;Preparación para reutilización;7;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;02 02 04 | Lodos del tratamiento in situ de efluentes;4; Lodos del tratamiento in situ de efluentes;20204
2021;Destinatario Final;4;5451966;CENTRO DE RECICLAJE ANTOFAGASTA;ACEROS AZA S.A.;92176000-0;Industrias básicas de hierro y acero;C2410;Industrias básicas de hierro y acero;C241000;-23,5846274;-70,25448295;2101;Antofagasta;Antofagasta;Antofagasta;Otras industrias manufactureras;10;1;733,866;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 05 | Hierro y acero no galvanizados;5; Hierro y acero no galvanizados;170405
2021;Destinatario Final;4;15752;PLANTA RAHUE ALTO;CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L;52003786-1;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,58066129;-73,16120009;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;233,03;Reciclaje de Residuos voluminosos;22;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;01 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca;1;02 01 99 | Residuos no especificados en otra categoría;99; Residuos no especificados en otra categoría;20199
