id;año;rol_establecimiento;id_rol_establecimiento;id_vu;nombre_establecimiento;razon_social;rut_razon_social;ciiu4;id_ciiu4;ciiu6;id_ciiu6;latitud;longitud;id_comuna;comuna;provincia;region;rubro_vu;id_rubro_vu;entrada_salida;cantidad_toneladas;tratamiento_nivel_3;id_tratamiento_nivel_3;tratamiento_nivel_1;id_tratamiento_nivel_1;capitulo_ler;id_capitulo_ler;subcapitulo_ler;id_subcapitulo_ler;nombre_ler;ler_codigo
15;2022;Destinatario Final;4;5440322;MINERA ANTUCOYA;MINERA ANTUCOYA;76079669-7;Extracción y procesamiento de cobre;B0400;Extracción y procesamiento de cobre;B040000;-22,622444473777;-69,838470110231;2102;Mejillones;Antofagasta;Antofagasta;Minería;4;1;316,25;Relleno sanitario;11;Eliminación;1;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;20 03 01 
138;2022;Destinatario Final;4;5461522;RECUPAC SUCURSAL CERRILLOS;RECUPAC S.A.;96588400-9;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-33,491070576744;-70,717452343108;13102;Cerrillos;Santiago;Metropolitana de Santiago;Gestores de residuos;15;1;6,221;Eliminación;1;Eliminación;1;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;15 01 02 | Envases de plástico;15 01 02 
212;2022;Destinatario Final;4;5461523;RECUPAC SUCURSAL PINTANA;RECUPAC S.A.;96588400-9;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,584499416591;-70,619657584284;13112;La Pintana;Santiago;Metropolitana de Santiago;Gestores de residuos;15;1;2,55;Co-incineración;24;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;17 02 01 
1188;2022;Destinatario Final;4;5459852;ESPINOZA HERMANOS LIMITADA;ESPINOZA HERMANOS LIMITADA;76126367-6;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-28,290438355457;-70,697985791257;3301;Vallenar;Huasco;Atacama;Gestores de residuos;15;2;415,47;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;17 04 07 
374;2022;Destinatario Final;4;5452838;GEOBARRA EXINS LTDA;GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.;76562260-3;Recuperación de materiales;E3830;Recuperación y reciclamiento de desperdicios y desechos metálicos;E383001;-34,350119067544;-70,842300871787;6115;Rengo;Cachapoal;Libertador Gral. Bernardo O'Higgins;Gestores de residuos;15;1;0,24;Valorización;2;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;17 02 01 
395;2022;Destinatario Final;4;5477453;BOTADERO TRABUN;TRABUN INGENIERIA AMBIENTAL Y CONSTRUCCION SPA;76329535-4;Preparación del terreno;F4312;Preparación del terreno;F431200;-33,551511739694;-70,750118784159;13401;San Bernardo;Maipo;Metropolitana de Santiago;Construcción;16;1;56,221;Relleno sanitario;11;Eliminación;1;12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos;12;01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos;1;12 01 04 | Polvo y partículas de metales no férreos;12 01 04 
601;2022;Destinatario Final;4;5460733;GREENDOT;GREENDOT SPA;76469170-9;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,735424286439;-70,721011675005;13402;Buin;Maipo;Metropolitana de Santiago;Gestores de residuos;15;1;0,403;Reciclaje de plásticos;18;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 03 | Otros Plástico no especificados en los códigos 17 02 07, 17 02 08, 17 02 09 y 17 02 10;17 02 03 
613;2022;Destinatario Final;4;5486067;RELLENO SANITARIO SANTA INÉS;COSEMAR S A;96827370-1;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-20,1976946265743;-70,0620670318604;1107;Alto Hospicio;Iquique;Tarapacá;Gestores de residuos;15;1;22,2;Relleno sanitario;11;Eliminación;1;10 | Residuos de procesos térmicos;10;01 | Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19);1;10 01 99 | Residuos no especificados en otra categoría;10 01 99 
650;2022;Destinatario Final;4;5483718;Planta Maule;F4F SPA;76400774-3;Elaboración de piensos preparados para animales;C1080;Elaboración de piensos preparados para animales;C108000;-35,4594348797351;-71,6492339846558;7105;Maule;Talca;Maule;Otras industrias manufactureras;10;1;38,076;Reducción de residuos orgánicos en base a larvas de insectos;68;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;05 | Residuos de la industria de productos lácteos;5;02 05 01 | Materiales inadecuados para el consumo o la elaboración;02 05 01 
733;2022;Destinatario Final;4;5466790;MI GRAN CHILE;JAIME PATRICIO PINNINGHOFF AZÓCAR GESTION AMBIENTAL EMPRESA INDIVIDUAL;76334479-7;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-40,573721800784;-73,144106775245;10301;Osorno;Osorno;Los Lagos;Gestores de residuos;15;1;46,527;Pretratamiento de plásticos;45;Recolección;5;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;15 01 02 | Envases de plástico;15 01 02 
1175;2022;Destinatario Final;4;8876;SOC NACIONAL METALURGICA LTDA;SOC NACIONAL METALURGICA LTDA;80411800-4;Fundición de metales no ferrosos;C2432;Fundición de metales no ferrosos;C243200;-33,479064633483;-70,63568583611;13129;San Joaquín;Santiago;Metropolitana de Santiago;Otras industrias manufactureras;10;1;1,259;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 02 | Aluminio;17 04 02 
776;2022;Destinatario Final;4;5471595;CASA MATRIZ;RECICLAJE Y COMERCIALIZACION DE EXCEDENTES MINEROS Y ARTICULOS DE REMA;76337798-9;Recuperación de materiales;E3830;Recuperación y reciclamiento de desperdicios y desechos metálicos;E383001;-27,450509190465;-70,26588962866;3103;Tierra Amarilla;Copiapó;Atacama;Gestores de residuos;15;1;344,2;Valorización;2;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 05 | Hierro y acero no galvanizados;17 04 05 
950;2022;Destinatario Final;4;5453558;RECICLAJES INDUSTRIALES SA;RECICLAJES INDUSTRIALES S A;96834290-8;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;-33,378585004699;-70,772131699785;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras actividades;20;1;145,1;Compostaje;27;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;17 02 01 
966;2022;Destinatario Final;4;5453558;RECICLAJES INDUSTRIALES SA;RECICLAJES INDUSTRIALES S A;96834290-8;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;-33,378585004699;-70,772131699785;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras actividades;20;1;8,73;Compostaje;27;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 99 | Residuos municipales no especificados en otra categoría;20 03 99 
978;2022;Destinatario Final;4;5453558;RECICLAJES INDUSTRIALES SA;RECICLAJES INDUSTRIALES S A;96834290-8;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;-33,378585004699;-70,772131699785;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras actividades;20;1;31,47;Reciclaje;8;Valorización;2;16 | Residuos no especificados en otro capítulo de la lista;16;03 | Lotes de productos fuera de especificación y productos no utilizados;3;16 03 06 | Residuos orgánicos distintos de los especificados en el código 16 03 05;16 03 06 
1147;2022;Destinatario Final;4;5452485;Veolia Respel Chile SpA;VEOLIA RESPEL CHILE SPA;76395745-4;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-33,12486742569;-71,544222735787;5101;Valparaíso;Valparaíso;Valparaíso;Gestores de residuos;15;1;141;Depósito de Seguridad;33;Eliminación;1;07 | Residuos de procesos químicos orgánicos;7;06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos;6;07 06 99 | Residuos no especificados en otra categoría;07 06 99 
1196;2022;Destinatario Final;4;5459852;ESPINOZA HERMANOS LIMITADA;ESPINOZA HERMANOS LIMITADA;76126367-6;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-28,290438355457;-70,697985791257;3301;Vallenar;Huasco;Atacama;Gestores de residuos;15;1;56;Pretratamiento de Metales;44;Recolección;5;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;17 04 07 
1202;2022;Destinatario Final;4;5459852;ESPINOZA HERMANOS LIMITADA;ESPINOZA HERMANOS LIMITADA;76126367-6;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-28,290438355457;-70,697985791257;3301;Vallenar;Huasco;Atacama;Gestores de residuos;15;1;4,33;Reciclaje de metales;20;Valorización;2;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 07 | Metales mezclados;17 04 07 
1453;2022;Destinatario Final;4;90327;PLANTA PUDAHUEL;HIDRONOR CHILE S.A;96607990-8;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;-33,421077864092;-70,81640910523;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras actividades;20;1;0,849;Depósito de Seguridad;33;Eliminación;1;17 | Residuos de la construcción y demolición;17;04 | Metales (incluidas sus aleaciones);4;17 04 05 | Hierro y acero no galvanizados;17 04 05 
1487;2022;Destinatario Final;4;90327;PLANTA PUDAHUEL;HIDRONOR CHILE S.A;96607990-8;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;-33,421077864092;-70,81640910523;13124;Pudahuel;Santiago;Metropolitana de Santiago;Otras actividades;20;1;11,573;Depósito de Seguridad;33;Eliminación;1;07 | Residuos de procesos químicos orgánicos;7;02 | Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales;2;07 02 99 | Residuos no especificados en otra categoría;07 02 99 
1609;2022;Destinatario Final;4;5464578;RECICLADORA RECICLEAN SPA;RECICLADORA RECICLEAN SPA;76201081-K;Recuperación de materiales;E3830;Recuperación y reciclamiento de papel;E383002;-33,486139854149;-70,7029226747;13102;Cerrillos;Santiago;Metropolitana de Santiago;Gestores de residuos;15;1;0,035;Reciclaje de vidrio;19;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;20 01 02 
1735;2022;Destinatario Final;4;2289604;PLANTA ANTOFAGASTA;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-24,25935831735;-70,035643027901;2101;Antofagasta;Antofagasta;Antofagasta;Gestores de residuos;15;1;124,88;Depósito de Seguridad;33;Eliminación;1;10 | Residuos de procesos térmicos;10;06 | Residuos de la termometalurgia del cobre;6;10 06 99 | Residuos no especificados en otra categoría;10 06 99 
1797;2022;Destinatario Final;4;33161;PLANTA COPIULEMU;HIDRONOR CHILE S.A;96607990-8;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-36,863902346883;-72,856266512602;8104;Florida;Concepción;Biobío;Gestores de residuos;15;1;143,08;Relleno sanitario;11;Eliminación;1;10 | Residuos de procesos térmicos;10;11 | Residuos de la fabricación del vidrio y sus derivados;11;10 11 05 | Partículas y polvo;10 11 05 
2001;2022;Destinatario Final;4;5476517;FREDY EDUARDO CORDOVA RIQUELME;FREDY EDUARDO CORDOVA RIQUELME;13388074-7;Otras actividades de servicios personales n.c.p.;S9609;Otras actividades de servicios personales n.c.p.;S960909;-37,465915358555;-72,32642931918;8301;Los Angeles;Biobío;Biobío;Otras actividades;20;2;12,625;Pretratamiento de Metales;44;Recolección;5;12 | Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos;12;01 | Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos;1;12 01 99 | Residuos no especificados en otra categoría;12 01 99 
2114;2022;Destinatario Final;4;5955;BRAVO ENERGY CHILE SA;BRAVO ENERGY CHILE S A;96726750-3;Venta al por mayor no especializada;G4690;Venta al por mayor no especializada;G469000;-33,531281959795;-70,751573813776;13119;Maipú;Santiago;Metropolitana de Santiago;Comercio mayorista;18;1;9,76;Valorización;2;Valorización;2;07 | Residuos de procesos químicos orgánicos;7;06 | Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos;6;07 06 99 | Residuos no especificados en otra categoría;07 06 99 
2272;2022;Destinatario Final;4;244575;ECOBIO;ECOBIO SPA;77295110-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-36,696851570736;-72,163945907103;16103;Chillan Viejo;Diguillín;Ñuble;Gestores de residuos;15;1;266,78;Disposición final;3;Eliminación;1;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;02 | Residuos de la preparación y elaboración de carne, pescado y otros alimentos de origen animal;2;02 02 04 | Lodos del tratamiento in situ de efluentes;02 02 04 
2257;2022;Destinatario Final;4;348951;ENERGIA PACIFICO SA;ENERGIA PACIFICO S.A.;76004531-4;Generación, transmisión y distribución de energía eléctrica;D3510;Generación de energía eléctrica en centrales termoeléctricas;D351012;-33,981091016593;-70,697577398787;6110;Mostazal;Cachapoal;Libertador Gral. Bernardo O'Higgins;Termoeléctricas;11;1;0,6;Co-procesamiento;23;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;17 02 01 
2319;2022;Destinatario Final;4;244575;ECOBIO;ECOBIO SPA;77295110-8;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-36,696851570736;-72,163945907103;16103;Chillan Viejo;Diguillín;Ñuble;Gestores de residuos;15;1;5348,422;Relleno sanitario;11;Eliminación;1;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;3;01 | Residuos de la transformación de la madera y de la producción de tableros y muebles;1;03 01 99 | Residuos no especificados en otra categoría;03 01 99 
3758;2022;Destinatario Final;4;5478528;PLANTA COMPOSTAJE LUZ VERDE;EMPRESA CONSTRUCTORA CAM Y ASOCIADOS LIMITADA;78854210-0;Recuperación de materiales;E3830;Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.;E383009;-32,971718518826;-71,474738188043;5103;Concón;Valparaíso;Valparaíso;Gestores de residuos;15;1;65,89;Compostaje;27;Valorización;2;17 | Residuos de la construcción y demolición;17;02 | Madera, vidrio y plástico;2;17 02 01 | Madera libre de impregnación o pinturas;17 02 01 
2589;2022;Destinatario Final;4;5478064;CONARE VALDIVIA;CONARE CHILE SPA;76995969-6;Transporte de carga por carretera;H4923;Transporte de carga por carretera;H492300;-39,817379960075;-73,242533254611;14101;Valdivia;Valdivia;Los Ríos;Otras actividades;20;1;13,43;Preparación para reutilización;7;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 01 | Papel y cartón;20 01 01 
2650;2022;Destinatario Final;4;5463244;ECCOFEED SPA;ECCOFEED SPA;76415706-0;Elaboración de piensos preparados para animales;C1080;Elaboración de piensos preparados para animales;C108000;-33,73446278408;-70,725935787152;13402;Buin;Maipo;Metropolitana de Santiago;Otras industrias manufactureras;10;1;6,07;Preparación para reutilización;7;Valorización;2;"02 | Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";2;05 | Residuos de la industria de productos lácteos;5;02 05 01 | Materiales inadecuados para el consumo o la elaboración;02 05 01 
2726;2022;Destinatario Final;4;5465719;RECYCLING LAS INDUSTRIAS;RECYCLING S.A.;77032590-0;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-33,326797661368;-70,731581784114;13302;Lampa;Chacabuco;Metropolitana de Santiago;Gestores de residuos;15;1;15,6252999878;Co-procesamiento;23;Valorización;2;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 25 | Aceites y grasas comestibles;20 01 25 
2761;2022;Destinatario Final;4;5465719;RECYCLING LAS INDUSTRIAS;RECYCLING S.A.;77032590-0;Tratamiento y eliminación de desechos peligrosos;E3822;Tratamiento y eliminación de desechos peligrosos;E382200;-33,326797661368;-70,731581784114;13302;Lampa;Chacabuco;Metropolitana de Santiago;Gestores de residuos;15;1;0,96;Relleno sanitario;11;Eliminación;1;09 | Residuos de la industria fotográfica;9;01 | Residuos de la industria fotográfica;1;09 01 99 | Residuos no especificados en otra categoría;09 01 99 
2794;2022;Destinatario Final;4;5473631;RELLENO SANITARIO EL PANUL;INVERSIONES PANUL LIMITADA;76349947-2;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-30,012196316298;-71,363305501789;4102;Coquimbo;Elqui;Coquimbo;Gestores de residuos;15;1;2,14;Relleno sanitario;11;Eliminación;1;17 | Residuos de la construcción y demolición;17;01 | Hormigón, ladrillos, tejas y materiales cerámicos;1;17 01 01 | Hormigón;17 01 01 
2833;2022;Destinatario Final;4;5478506;INVERSIONES CORMI LIMITADA;INVERSIONES CORMI LIMITADA;76855448-K;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,393871344258;-70,810187902656;13124;Pudahuel;Santiago;Metropolitana de Santiago;Gestores de residuos;15;1;2314,6;Sitio de Escombros de la Construcción;60;Eliminación;1;17 | Residuos de la construcción y demolición;17;01 | Hormigón, ladrillos, tejas y materiales cerámicos;1;17 01 01 | Hormigón;17 01 01 
2836;2022;Destinatario Final;4;5478506;INVERSIONES CORMI LIMITADA;INVERSIONES CORMI LIMITADA;76855448-K;Recogida de desechos no peligrosos;E3811;Recogida de desechos no peligrosos;E381100;-33,393871344258;-70,810187902656;13124;Pudahuel;Santiago;Metropolitana de Santiago;Gestores de residuos;15;1;10109,305;Sitio de Escombros de la Construcción;60;Eliminación;1;17 | Residuos de la construcción y demolición;17;05 | Tierra (excluida la excavada de zonas contaminadas), piedras y lodos de drenaje;5;17 05 04 | Tierra y piedras distintas de las especificadas en el código 17 05 03;17 05 04 
2903;2022;Destinatario Final;4;4587897;CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE;ECOMAULE S A;99539220-8;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-35,200752053255;-71,401907015959;7108;Río Claro;Talca;Maule;Gestores de residuos;15;1;132,152;Relleno sanitario;11;Eliminación;1;04 | Residuos de las industrias del cuero, de la piel y textil;4;01 | Residuos de las industrias del cuero y de la piel;1;04 01 09 | Residuos de confección y acabado;04 01 09 
3114;2022;Destinatario Final;4;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;96828810-5;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-33,697171417964;-70,802532359533;13601;Talagante;Talagante;Metropolitana de Santiago;Gestores de residuos;15;1;103,05;Relleno sanitario;11;Eliminación;1;04 | Residuos de las industrias del cuero, de la piel y textil;4;02 | Residuos de la industria textil;2;04 02 99 | Residuos no especificados en otra categoría;04 02 99 
3115;2022;Destinatario Final;4;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;96828810-5;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-33,697171417964;-70,802532359533;13601;Talagante;Talagante;Metropolitana de Santiago;Gestores de residuos;15;1;4,7;Relleno sanitario;11;Eliminación;1;06 | Residuos de procesos químicos inorgánicos;6;05 | Lodos del tratamiento in situ de efluentes;5;06 05 03 | Lodos del tratamiento in situ de efluentes, distintos de los mencionados en el código 06 05 02;06 05 03 
3042;2022;Destinatario Final;4;2397;PLANTA ARAUCO;CELULOSA ARAUCO Y CONSTITUCION S A;93458000-1;Fabricación de pasta de madera, papel y cartón;C1701;Fabricación de celulosa y otras pastas de madera;C170110;-37,206209812008;-73,224333370304;8202;Arauco;Arauco;Biobío;Industria del papel y celulosa;5;1;14470,263;Vertedero;12;Eliminación;1;03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón;3;03 | Residuos de la producción y transformación de pasta de papel, papel y cartón;3;03 03 09 | Residuos de lodos calizos;03 03 09 
3091;2022;Destinatario Final;4;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;96828810-5;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-33,697171417964;-70,802532359533;13601;Talagante;Talagante;Metropolitana de Santiago;Gestores de residuos;15;1;655,47;Relleno sanitario;11;Eliminación;1;01 | Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales;1;01 | Residuos de la extracción de minerales;1;01 01 01 | Residuos de la extracción de minerales metálicos;01 01 01 
3108;2022;Destinatario Final;4;97614;RELLENO SANITARIO SANTA MARTA;CONSORCIO SANTA MARTA S A;96828810-5;Tratamiento y eliminación de desechos no peligrosos;E3821;Tratamiento y eliminación de desechos no peligrosos;E382100;-33,697171417964;-70,802532359533;13601;Talagante;Talagante;Metropolitana de Santiago;Gestores de residuos;15;1;4,32;Relleno sanitario;11;Eliminación;1;04 | Residuos de las industrias del cuero, de la piel y textil;4;01 | Residuos de las industrias del cuero y de la piel;1;04 01 02 | Residuos de encalado;04 01 02 
3222;2022;Destinatario Final;4;5471589;ECOPLAS LIMITADA;ECOPLAS LIMITADA;76735950-0;Venta al por mayor de desperdicios, desechos, chatarra y otros productos n.c.p.;G4669;Venta al por mayor de desperdicios, desechos y otros productos n.c.p.;G466909;-33,415018043999;-70,703264167001;13126;Quinta Normal;Santiago;Metropolitana de Santiago;Comercio mayorista;18;1;0,759;Depósito de Seguridad;33;Eliminación;1;"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";15;01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal);1;15 01 02 | Envases de plástico;15 01 02 
